id,game,IPouts,H,BB,R,ER,PC,K,HR,1B,2B,3B,WP,HBP,PA,AB,BK,SH,SF,IBB,opp,loc,regpost,gs
guthm001,CHN200004130,5,0,0,0,0,12,0,0,0,0,0,0,0,5,5,0,0,0,0,CHN,0,1,0
lorra001,CHN200004140,17,4,2,5,4,98,8,1,2,1,0,0,0,24,22,0,0,0,0,CHN,0,1,1
willb001,CHN200004140,1,3,1,3,3,22,1,1,2,0,0,0,1,6,4,0,0,0,0,CHN,0,1,0
quevr001,CHN200004140,3,1,0,0,0,17,1,0,1,0,0,1,0,4,4,0,0,0,0,CHN,0,1,0
garid001,CHN200004140,3,0,0,0,0,15,0,0,0,0,0,0,0,3,3,0,0,0,0,CHN,0,1,0
aguir001,CHN200004140,3,2,1,1,1,19,1,0,1,1,0,0,0,6,5,0,0,0,0,CHN,0,1,0
downs001,CHN200004150,21,4,1,2,2,97,6,1,2,1,0,0,0,25,23,0,1,0,0,CHN,0,1,1
guthm001,CHN200004150,3,0,1,0,0,15,1,0,0,0,0,0,0,4,3,0,0,0,0,CHN,0,1,0
aguir001,CHN200004150,3,0,0,0,0,8,1,0,0,0,0,0,0,3,3,0,0,0,0,CHN,0,1,0
liebj001,CHN200004160,24,7,2,5,5,98,8,0,5,2,0,0,0,34,31,0,1,0,0,CHN,0,1,1
heref001,CHN200004160,3,0,1,0,0,15,0,0,0,0,0,0,0,3,2,0,0,0,0,CHN,0,1,0
quevr001,CHN200004160,3,1,0,1,1,13,0,1,0,0,0,0,0,4,4,0,0,0,0,CHN,0,1,0
farnk001,CHN200004170,20,11,2,6,6,116,4,0,10,1,0,0,0,33,31,0,0,0,0,CHN,0,1,1
guthm001,CHN200004170,4,1,0,0,0,16,1,0,1,0,0,0,0,4,4,0,0,0,0,CHN,0,1,0
heref001,CHN200004170,3,0,0,0,0,12,1,0,0,0,0,0,0,3,3,0,0,0,0,CHN,0,1,0
tapak001,CHN200004280,21,3,2,1,1,99,6,1,1,1,0,1,0,26,24,0,0,0,0,CHN,0,1,1
farnk001,CHN200004280,2,2,0,2,2,11,0,1,1,0,0,0,0,4,4,0,0,0,0,CHN,0,1,0
guthm001,CHN200004280,1,1,0,0,0,8,0,0,1,0,0,0,0,2,2,0,0,0,0,CHN,0,1,0
aguir001,CHN200004280,3,1,2,2,2,15,0,1,0,0,0,0,0,5,3,0,0,0,0,CHN,0,1,0
downs001,CHN200004290,15,6,2,3,3,102,4,1,4,0,1,0,0,22,20,0,0,0,0,CHN,0,1,1
garid001,CHN200004290,6,1,1,0,0,39,2,0,1,0,0,0,0,8,7,0,0,0,0,CHN,0,1,0
willb001,CHN200004290,5,1,3,1,1,41,2,0,1,0,0,0,0,8,4,0,1,0,0,CHN,0,1,0
heref001,CHN200004290,1,0,0,0,0,5,1,0,0,0,0,0,0,1,1,0,0,0,0,CHN,0,1,0
guthm001,CHN200004290,1,1,2,3,3,17,0,0,1,0,0,1,0,4,1,0,1,0,2,CHN,0,1,0
aguir001,CHN200004290,2,1,2,0,0,31,0,0,1,0,0,0,0,5,3,0,0,0,0,CHN,0,1,0
lorra001,CHN200004300,12,5,2,4,4,79,5,1,4,0,0,0,0,19,17,0,0,0,0,CHN,0,1,1
garid001,CHN200004300,3,1,0,0,0,17,2,0,1,0,0,0,0,3,3,0,0,0,0,CHN,0,1,0
karcm001,CHN200004300,6,1,0,0,0,24,1,0,1,0,0,0,0,7,7,0,0,0,0,CHN,0,1,0
heref001,CHN200004300,3,2,0,2,2,28,0,1,1,0,0,1,0,5,5,0,0,0,0,CHN,0,1,0
farnk001,CHN200004300,3,3,0,0,0,15,1,0,3,0,0,0,0,5,5,0,0,0,0,CHN,0,1,0
woodk002,CHN200005020,18,3,4,1,1,97,4,1,2,0,0,1,0,25,20,0,1,0,0,CHN,0,1,1
willb001,CHN200005020,9,1,2,0,0,47,2,0,0,1,0,0,0,12,10,0,0,0,0,CHN,0,1,0
liebj001,CHN200005030,23,6,4,3,3,119,7,1,4,1,0,1,0,33,29,0,0,0,1,CHN,0,1,1
farnk001,CHN200005030,1,0,0,0,0,9,1,0,0,0,0,0,0,2,2,0,0,0,0,CHN,0,1,0
aguir001,CHN200005030,3,2,0,0,0,23,2,0,2,0,0,0,0,5,5,0,0,0,0,CHN,0,1,0
valdi001,CHN200005040,14,4,3,4,4,94,3,1,3,0,0,0,0,20,17,0,0,0,0,CHN,0,1,1
guthm001,CHN200005040,7,2,1,0,0,42,4,0,1,1,0,0,1,10,8,0,0,0,0,CHN,0,1,0
heref001,CHN200005040,6,3,3,2,2,51,1,0,2,1,0,1,0,11,7,0,0,1,2,CHN,0,1,0
tapak001,CHN200005050,21,6,1,4,4,109,6,2,2,2,0,0,1,29,27,0,0,0,0,CHN,0,1,1
willb001,CHN200005050,3,0,0,0,0,14,1,0,0,0,0,0,0,3,3,0,0,0,0,CHN,0,1,0
farnk001,CHN200005050,3,1,1,0,0,17,0,0,1,0,0,0,0,5,4,0,0,0,1,CHN,0,1,0
downs001,CHN200005060,18,8,1,4,4,81,3,2,3,3,0,0,0,25,24,0,0,0,0,CHN,0,1,1
willb001,CHN200005060,6,3,1,1,1,33,0,0,2,1,0,0,0,10,9,0,0,0,0,CHN,0,1,0
aguir001,CHN200005060,1,2,2,4,4,20,0,0,2,0,0,0,0,5,3,0,0,0,0,CHN,0,1,0
farnk001,CHN200005060,1,3,1,2,2,18,0,0,1,1,1,0,0,5,4,0,0,0,1,CHN,0,1,0
heref001,CHN200005060,1,0,0,0,0,4,0,0,0,0,0,0,0,1,1,0,0,0,0,CHN,0,1,0
woodk002,CHN200005070,20,7,5,7,7,109,6,2,4,1,0,1,1,32,26,0,0,0,0,CHN,0,1,1
heref001,CHN200005070,1,1,0,0,0,8,0,0,1,0,0,0,0,2,2,0,0,0,0,CHN,0,1,0
garid001,CHN200005070,4,3,1,3,3,37,0,0,3,0,0,0,0,8,7,0,0,0,0,CHN,0,1,0
guthm001,CHN200005070,2,2,0,1,1,22,0,1,1,0,0,0,0,4,4,0,0,0,0,CHN,0,1,0
liebj001,CHN200005080,14,10,1,7,7,112,6,2,5,3,0,0,1,26,23,0,0,1,0,CHN,0,1,1
willb001,CHN200005080,7,0,1,0,0,36,3,0,0,0,0,0,0,8,7,0,0,0,0,CHN,0,1,0
farnk001,CHN200005080,5,2,3,4,4,44,2,1,1,0,0,0,0,9,6,0,0,0,0,CHN,0,1,0
aguir001,CHN200005080,1,1,1,0,0,12,0,0,1,0,0,0,0,3,2,0,0,0,0,CHN,0,1,0
heref001,CHN200005080,3,0,1,0,0,26,3,0,0,0,0,0,0,4,3,0,0,0,0,CHN,0,1,0
valdi001,CHN200005090,15,3,1,3,3,88,8,1,2,0,0,0,1,20,18,0,0,0,0,CHN,0,1,1
lorra001,CHN200005090,5,3,1,0,0,41,2,0,3,0,0,0,0,9,7,0,1,0,0,CHN,0,1,0
guthm001,CHN200005090,4,1,2,1,1,44,0,0,1,0,0,1,0,7,4,0,0,1,1,CHN,0,1,0
garid001,CHN200005090,3,1,0,0,0,10,0,0,1,0,0,0,0,4,3,0,1,0,0,CHN,0,1,0
tapak001,CHN200005100,23,4,2,3,3,123,10,1,3,0,0,0,0,29,27,0,0,0,0,CHN,0,1,1
heref001,CHN200005100,1,2,1,4,4,18,1,1,1,0,0,1,0,5,3,0,1,0,0,CHN,0,1,0
farnk001,CHN200005100,3,2,1,1,1,19,1,0,2,0,0,0,0,6,4,0,0,1,0,CHN,0,1,0
willb001,CHN200005100,3,1,0,0,0,8,0,0,1,0,0,0,0,3,3,0,0,0,0,CHN,0,1,0
aguir001,CHN200005100,3,0,0,0,0,14,1,0,0,0,0,0,0,3,3,0,0,0,0,CHN,0,1,0
downs001,CHN200005110,9,7,3,4,4,89,0,0,4,3,0,0,0,19,15,0,0,1,0,CHN,0,1,1
garid001,CHN200005110,6,2,2,0,0,43,0,0,2,0,0,0,0,8,6,0,0,0,0,CHN,0,1,0
willb001,CHN200005110,3,3,3,4,4,31,0,0,2,1,0,0,0,9,6,0,0,0,1,CHN,0,1,0
lorra001,CHN200005110,3,4,2,5,4,44,0,0,3,1,0,0,0,8,5,0,0,1,0,CHN,0,1,0
guthm001,CHN200005110,3,2,0,1,1,21,2,0,1,1,0,1,0,5,5,0,0,0,0,CHN,0,1,0
heref001,CHN200005110,3,0,0,0,0,10,0,0,0,0,0,0,0,3,3,0,0,0,0,CHN,0,1,0
tapak001,CHN200005160,24,9,0,6,6,127,5,3,6,0,0,0,2,35,32,0,1,0,0,CHN,0,1,1
farnk001,CHN200005160,3,0,0,0,0,6,1,0,0,0,0,0,0,3,3,0,0,0,0,CHN,0,1,0
