version,2
info,visteam,ARI
info,hometeam,CHN
info,site,CHI11
info,date,2000/04/29
info,number,0
info,starttime,1:20PM
info,daynight,day
info,usedh,false
info,umphome,rapue901
info,ump1b,millb901
info,ump2b,rungb901
info,ump3b,shulj901
info,pitches,pitches
info,temp,47
info,winddir,fromlf
info,windspeed,22
info,fieldcond,unknown
info,precip,unknown
info,sky,sunny
info,timeofgame,214
info,attendance,37484
info,wp,mantm001
info,lp,guthm001
info,save,morgm001
start,friah001,"Hanley Frias",0,1,6
start,bellj001,"Jay Bell",0,2,4
start,gonzl001,"Luis Gonzalez",0,3,7
start,colbg001,"Greg Colbrunn",0,4,3
start,finls001,"Steve Finley",0,5,8
start,gilkb001,"Bernard Gilkey",0,6,9
play,10,0,durae001,22,BBSFFX,S9/9S.3-H;2-H;1-3
play,10,0,friah001,12,SLBB,SB2
play,10,0,friah001,32,SLBBBFFB,W
play,10,0,bellj001,31,BBCBB,W.3-H;2-3;1-2
play,10,0,gonzl001,12,FBCX,43/G
play,10,1,gracm001,00,,NP
sub,harrl001,"Lenny Harris",0,8,5
play,10,1,gracm001,00,,NP
sub,gilkb001,"Bernard Gilkey",0,6,7
play,10,1,gracm001,00,,NP
sub,lee-t002,"Travis Lee",0,4,9
play,10,1,gracm001,00,,NP
sub,durae001,"Erubiel Durazo",0,9,3
play,10,1,gracm001,00,,NP
sub,morgm001,"Mike Morgan",0,3,1
play,10,1,gracm001,01,CX,63/G
play,10,1,sosas001,02,CFC,K/C
play,10,1,hillg001,10,BX,31/G
data,er,andeb002,2
data,er,mantm001,1
data,er,morgm001,0
data,er,downs001,3
data,er,garid001,0
data,er,willb001,1
data,er,heref001,0
data,er,guthm001,3
data,er,aguir001,0
