version,2
info,visteam,TBA
info,hometeam,CHA
info,site,CHI12
info,date,2000/08/20
info,number,0
info,starttime,1:05PM
info,daynight,day
info,usedh,true
info,umphome,rungb901
info,ump1b,lampi901
info,ump2b,shulj901
info,ump3b,barkl901
info,pitches,pitches
info,temp,73
info,winddir,unknown
info,windspeed,6
info,fieldcond,unknown
info,precip,unknown
info,sky,sunny
info,timeofgame,225
info,attendance,27744
info,wp,yan-e001
info,lp,foulk001
info,save,hernr001
start,willg001,"Gerald Williams",0,1,8
start,cox-s001,"Steve Cox",0,2,9
start,vaugg001,"Greg Vaughn",0,3,10
start,mcgrf001,"Fred McGriff",0,4,3
start,smitr003,"Bobby Smith",0,5,4
start,huffa001,"Aubrey Huff",0,6,5
start,difem001,"Mike DiFelice",0,7,2
start,tynej001,"Jason Tyner",0,8,7
play,8,1,thomf001,32,BCCFFBBFB,W
play,8,1,ordom001,00,X,8/F8.2-3
play,8,1,konep001,12,SSBB,WP.3-H;1-2
play,8,1,konep001,22,SSBBX,13/G
play,8,1,perrh001,01,SH,HP
play,8,1,lee-c001,10,BX,6(1)/FO/G.2-3
play,9,0,smitr003,00,,NP
sub,foulk001,"Keith Foulke",1,0,1
play,9,0,smitr003,01,FX,HR/7
play,9,0,huffa001,00,X,S/89
play,9,0,difem001,00,,NP
sub,martf001,"Felix Martinez",0,6,12
play,9,0,difem001,00,X,34/SH.1-2
play,9,0,tynej001,12,FBFFFX,D/78.2-H
play,9,0,guilo001,00,X,3/G.2-3
play,9,0,willg001,22,FBFBFFFFFS,K
play,9,1,singc001,00,,NP
sub,martf001,"Felix Martinez",0,6,6
play,9,1,singc001,00,,NP
sub,johnr006,"Russ Johnson",0,9,5
play,9,1,singc001,00,,NP
sub,hernr001,"Roberto Hernandez",0,0,1
play,9,1,singc001,32,BBCSBB,W
play,9,1,johnm003,01,LX,14/SH.1-2
play,9,1,durhr001,32,CBBBFFB,W
play,9,1,valej003,02,FFFS,K
play,9,1,thomf001,12,BCCX,S.2-3;1-2
play,9,1,ordom001,32,FSFBBFBFFFS,K
data,er,eilad001,6
data,er,lidlc001,3
data,er,wilsp001,1
data,er,yan-e001,1
data,er,hernr001,0
data,er,biddr001,4
data,er,buehm001,2
data,er,barcl001,0
data,er,wunsk001,0
data,er,howrb001,0
data,er,foulk001,2
