version,2
info,visteam,ANA
info,hometeam,BOS
info,site,BOS07
info,date,2000/08/21
info,number,0
info,starttime,7:05PM
info,daynight,night
info,usedh,true
info,umphome,marqa901
info,ump1b,fichm901
info,ump2b,cousd901
info,ump3b,mealj901
info,pitches,pitches
info,temp,75
info,winddir,torf
info,windspeed,7
info,fieldcond,unknown
info,precip,unknown
info,sky,sunny
info,timeofgame,206
info,attendance,32795
info,wp,lowed001
info,lp,holtm001
info,save,
start,palmo001,"Orlando Palmeiro",0,1,7
start,stock001,"Kevin Stocker",0,2,6
start,vaugm001,"Mo Vaughn",0,3,3
start,salmt001,"Tim Salmon",0,4,9
start,andeg001,"Garret Anderson",0,5,8
start,glaut001,"Troy Glaus",0,6,5
start,molib001,"Ben Molina",0,7,2
start,kenna001,"Adam Kennedy",0,8,4
play,9,1,gilkb001,21,CBBX,63/G
play,9,1,varij001,30,BBBB,W
play,9,1,daubb001,21,BBCX,HR/9.1-H
play,9,1,lewid001,00,,NP
sub,nixot001,"Trot Nixon",1,9,11
play,9,1,nixot001,00,,NP
sub,petkm001,"Mark Petkovsek",0,0,1
play,9,1,nixot001,22,CBSBS,K
play,10,0,vaugm001,00,,NP
sub,nixot001,"Trot Nixon",1,9,9
play,10,0,vaugm001,22,CFFFBBS,K
play,10,0,salmt001,32,FFBBFBB,W
play,10,0,andeg001,11,BSX,64(1)3/GDP
play,10,1,offej001,01,CX,43/G
play,10,1,merll001,10,BX,63/G
play,10,1,everc001,10,BX,9/F9
play,11,0,glaut001,31,CBBBX,D7
play,11,0,molib001,00,X,54/SH.2-3
play,11,0,kenna001,10,BX,53/SH.3-H
play,11,0,gantr001,12,CBFX,13/G
play,11,1,garcn001,31,CBBBB,W
play,11,1,oleat001,00,,NP
sub,holtm001,"Mike Holtz",0,0,1
play,11,1,oleat001,11,BCX,S9/9S.1-3
play,11,1,gilkb001,00,,NP
sub,hases001,"Shigetoshi Hasegawa",0,0,1
play,11,1,gilkb001,00,,NP
sub,hatts001,"Scott Hatteberg",1,6,11
play,11,1,hatts001,32,BCBBFB,W.1-2
play,11,1,varij001,00,,NP
sub,alexm001,"Manny Alexander",1,6,12
play,11,1,varij001,22,CBSFBX,42(3)3/GDP.2-3;1-2
play,11,1,daubb001,21,BFBX,S7/7S.3-H;2-H
data,er,schos001,5
data,er,petkm001,1
data,er,holtm001,1
data,er,hases001,0
data,er,arror001,5
data,er,cormr001,0
data,er,garcr001,0
data,er,lowed001,1
