version,2
info,visteam,KCA
info,hometeam,BOS
info,site,BOS07
info,date,2000/06/01
info,number,0
info,starttime,7:05PM
info,daynight,night
info,usedh,true
info,umphome,crawj901
info,ump1b,dimum901
info,ump2b,gormb901
info,ump3b,everm901
info,pitches,pitches
info,temp,89
info,winddir,ltor
info,windspeed,13
info,fieldcond,unknown
info,precip,unknown
info,sky,sunny
info,timeofgame,212
info,attendance,32661
info,wp,santj002
info,lp,lowed001
info,save,reicd001
start,damoj001,"Johnny Damon",0,1,7
start,reboj001,"Jeff Reboulet",0,2,4
start,sweem002,"Mike Sweeney",0,3,10
start,dye-j001,"Jermaine Dye",0,4,9
start,beltc001,"Carlos Beltran",0,5,8
start,randj002,"Joe Randa",0,6,5
start,mccad001,"David McCarty",0,7,3
start,zaung001,"Gregg Zaun",0,8,2
play,6,0,zaung001,00,,NP
sub,waket001,"Tim Wakefield",1,0,1
play,6,0,zaung001,01,CX,S9.2-H(UR);1-3;BX2(9463)
play,6,1,varij001,00,,NP
sub,ordal001,"Luis Ordaz",0,9,6
play,6,1,varij001,00,,NP
sub,bottr001,"Ricky Bottalico",0,0,1
play,6,1,varij001,22,CBBFX,T9
play,6,1,veraw001,01,CX,8/SF.3-H
play,6,1,fryej001,31,CBBBB,W
play,6,1,nixot001,21,BFBX,8/F8
play,6,1,daubb001,32,SSBBFFBFFB,W.1-2
play,6,1,garcn001,32,BBFFBFX,D7.2-H;1-H
play,6,1,everc001,00,,NP
sub,santj002,"Jose Santiago",0,0,1
play,6,1,everc001,00,X,S.2-3
play,6,1,stanm002,31,BCBBB,W.1-2
play,6,1,oleat001,00,X,31/G
play,7,0,ordal001,22,BCSFBS,K
play,7,0,damoj001,22,CBFFFFBX,7/F7
play,7,0,reboj001,32,BBCCBS,K
play,7,1,varij001,00,X,43/G
play,7,1,veraw001,22,CBBFFFX,53/G
play,7,1,fryej001,32,BBFFBX,S7/7S
play,7,1,nixot001,10,BX,D9.1XH(942)
play,8,0,sweem002,00,,NP
sub,lowed001,"Derek Lowe",1,0,1
play,8,0,sweem002,00,X,S7
play,8,0,dye-j001,32,BBBCFX,9/F9
play,8,0,beltc001,01,CX,64(1)/FO
play,8,0,randj002,01,CX,S7/7S.1-2
play,8,0,mccad001,32,CSBBBX,T9.2-H;1-H
play,8,0,zaung001,22,CBFBFX,8/F8
play,8,1,daubb001,00,,NP
sub,reicd001,"Dan Reichert",0,0,1
play,8,1,daubb001,00,X,7/F7
play,8,1,garcn001,12,CCBFX,S9/9S
play,8,1,everc001,11,BFX,36(1)3/GDP
play,9,0,ordal001,00,,NP
sub,wasdj001,"John Wasdin",1,0,1
play,9,0,ordal001,11,CBX,9/F9
play,9,0,damoj001,22,FSBBS,K
play,9,0,reboj001,00,X,43/G
play,9,1,stanm002,10,BX,8/F8
play,9,1,oleat001,30,BBBB,W
play,9,1,varij001,22,BBCSS,K
play,9,1,veraw001,00,X,1/G
data,er,fussc001,8
data,er,bottr001,3
data,er,santj002,0
data,er,reicd001,0
data,er,martr002,3
data,er,garcr001,3
data,er,cormr001,0
data,er,waket001,0
data,er,lowed001,2
data,er,wasdj001,0
