id,loc,opp,starter,rs,ra,round
FLO200504050,A,FLO,smolj001,0,9,RS
FLO200504060,A,FLO,hampm001,2,1,RS
FLO200504070,A,FLO,hudst001,4,2,RS
ATL200504080,H,NYN,thomj005,3,1,RS
ATL200504090,H,NYN,ramih002,6,3,RS
ATL200504100,H,NYN,smolj001,1,6,RS
ATL200504110,H,WAS,hampm001,11,2,RS
ATL200504120,H,WAS,hudst001,3,4,RS
ATL200504130,H,WAS,thomj005,4,11,RS
PHI200504150,A,PHI,ramih002,11,4,RS
PHI200504160,A,PHI,smolj001,1,2,RS
PHI200504170,A,PHI,hampm001,1,2,RS
HOU200504180,A,HOU,hudst001,1,0,RS
HOU200504190,A,HOU,thomj005,3,5,RS
WAS200504200,A,WAS,ramih002,0,2,RS
WAS200504210,A,WAS,smolj001,2,1,RS
ATL200504220,H,PHI,hampm001,6,2,RS
ATL200504230,H,PHI,hudst001,11,1,RS
ATL200504240,H,PHI,thomj005,4,0,RS
NYN200504250,A,NYN,ramih002,4,5,RS
NYN200504260,A,NYN,smolj001,4,3,RS
NYN200504270,A,NYN,hampm001,8,4,RS
ATL200504290,H,SLN,hudst001,5,6,RS
ATL200504300,H,SLN,thomj005,3,2,RS
ATL200505010,H,SLN,smolj001,2,1,RS
ATL200505030,H,FLO,hampm001,6,11,RS
ATL200505040,H,FLO,hudst001,5,2,RS
ATL200505050,H,HOU,thomj005,9,3,RS
ATL200505060,H,HOU,smolj001,9,4,RS
ATL200505070,H,HOU,ramih002,4,1,RS
ATL200505080,H,HOU,hampm001,16,0,RS
COL200505090,A,COL,hudst001,6,7,RS
COL200505100,A,COL,thomj005,9,5,RS
COL200505110,A,COL,smolj001,5,6,RS
LAN200505130,A,LAN,ramih002,4,7,RS
LAN200505140,A,LAN,hampm001,5,1,RS
LAN200505150,A,LAN,hudst001,5,2,RS
SDN200505160,A,SDN,thomj005,3,5,RS
SDN200505170,A,SDN,smolj001,2,3,RS
SDN200505180,A,SDN,ramih002,4,8,RS
BOS200505200,A,BOS,hudst001,3,4,RS
BOS200505210,A,BOS,davik002,7,5,RS
BOS200505220,A,BOS,smolj001,2,5,RS
ATL200505230,H,NYN,ramih002,8,6,RS
ATL200505240,H,NYN,hudst001,4,0,RS
ATL200505250,H,NYN,davik002,3,0,RS
ATL200505270,H,PHI,smolj001,1,5,RS
ATL200505280,H,PHI,ramih002,5,12,RS
ATL200505290,H,PHI,hudst001,7,2,RS
WAS200505300,A,WAS,davik002,2,3,RS
WAS200505310,A,WAS,hampm001,4,5,RS
WAS200506010,A,WAS,smolj001,5,4,RS
WAS200506020,A,WAS,ramih002,6,8,RS
PIT200506030,A,PIT,hudst001,1,3,RS
PIT200506040,A,PIT,davik002,1,0,RS
PIT200506050,A,PIT,greis001,2,5,RS
ATL200506060,H,ANA,smolj001,2,4,RS
ATL200506070,H,ANA,ramih002,3,2,RS
ATL200506080,H,ANA,hudst001,4,8,RS
ATL200506100,H,OAK,davik002,4,6,RS
