id,loc,opp,starter,rs,ra,round
MIA201504060,A,MIA,tehej001,2,1,RS
MIA201504070,A,MIA,wooda002,12,2,RS
MIA201504080,A,MIA,mills001,2,0,RS
ATL201504100,H,NYN,stule002,5,3,RS
ATL201504110,H,NYN,tehej001,5,3,RS
ATL201504120,H,NYN,wooda002,3,4,RS
ATL201504130,H,MIA,mills001,3,2,RS
ATL201504140,H,MIA,cahit001,2,8,RS
ATL201504150,H,MIA,stule002,2,6,RS
TOR201504170,A,TOR,tehej001,8,7,RS
TOR201504180,A,TOR,wooda002,5,6,RS
TOR201504190,A,TOR,mills001,5,2,RS
NYN201504210,A,NYN,cahit001,1,7,RS
NYN201504220,A,NYN,stule002,2,3,RS
NYN201504230,A,NYN,tehej001,3,6,RS
PHI201504240,A,PHI,wooda002,0,1,RS
PHI201504250,A,PHI,mills001,5,2,RS
PHI201504260,A,PHI,cahit001,4,5,RS
ATL201504270,H,WAS,stule002,8,4,RS
ATL201504280,H,WAS,tehej001,12,13,RS
ATL201504290,H,WAS,wooda002,4,13,RS
ATL201504300,H,CIN,mills001,1,5,RS
ATL201505010,H,CIN,foltm001,4,3,RS
ATL201505020,H,CIN,stule002,4,8,RS
ATL201505030,H,CIN,tehej001,5,0,RS
ATL201505040,H,PHI,wooda002,2,5,RS
ATL201505050,H,PHI,mills001,9,0,RS
ATL201505060,H,PHI,foltm001,7,5,RS
WAS201505080,A,WAS,stule002,2,9,RS
WAS201505090,A,WAS,tehej001,6,8,RS
WAS201505100,A,WAS,wooda002,4,5,RS
CIN201505110,A,CIN,mills001,2,1,RS
CIN201505120,A,CIN,foltm001,3,4,RS
CIN201505130,A,CIN,stule002,1,5,RS
MIA201505150,A,MIA,tehej001,5,3,RS
MIA201505160,A,MIA,wooda002,5,3,RS
MIA201505170,A,MIA,mills001,6,0,RS
ATL201505190,H,TBA,foltm001,3,5,RS
ATL201505200,H,TBA,perew001,2,1,RS
ATL201505210,H,MIL,tehej001,10,1,RS
ATL201505220,H,MIL,stule002,0,11,RS
ATL201505230,H,MIL,mills001,3,2,RS
ATL201505240,H,MIL,foltm001,2,1,RS
LAN201505250,A,LAN,perew001,3,6,RS
LAN201505260,A,LAN,tehej001,0,8,RS
LAN201505270,A,LAN,wooda002,3,2,RS
SFN201505280,A,SFN,mills001,0,7,RS
SFN201505290,A,SFN,foltm001,2,4,RS
SFN201505300,A,SFN,perew001,8,0,RS
SFN201505310,A,SFN,tehej001,7,5,RS
ARI201506010,A,ARI,wooda002,8,1,RS
ARI201506020,A,ARI,mills001,6,7,RS
ARI201506030,A,ARI,foltm001,8,9,RS
ATL201506050,H,PIT,perew001,8,10,RS
ATL201506060,H,PIT,tehej001,5,4,RS
ATL201506070,H,PIT,wooda002,0,3,RS
ATL201506080,H,SDN,mills001,3,5,RS
ATL201506090,H,SDN,foltm001,6,5,RS
ATL201506100,H,SDN,perew001,4,1,RS
ATL201506110,H,SDN,tehej001,4,6,RS
NYN201506120,A,NYN,wooda002,3,5,RS
NYN201506130,A,NYN,mills001,5,3,RS
NYN201506140,A,NYN,foltm001,8,10,RS
BOS201506150,A,BOS,perew001,4,2,RS
BOS201506160,A,BOS,tehej001,4,9,RS
ATL201506170,H,BOS,wooda002,5,2,RS
