id,loc,opp,starter,rs,ra,round
ATL197304060,H,HOU,gentg101,1,2,RS
ATL197304081,H,HOU,dobsp101,3,10,RS
ATL197304082,H,HOU,reedr001,4,3,RS
ATL197304090,H,CIN,mortc102,7,8,RS
SDN197304110,A,SDN,gentg101,8,1,RS
SDN197304120,A,SDN,dobsp101,3,2,RS
LAN197304130,A,LAN,reedr001,3,6,RS
LAN197304140,A,LAN,mortc102,1,2,RS
LAN197304150,A,LAN,gentg101,2,6,RS
SFN197304171,A,SFN,dobsp101,2,15,RS
SFN197304172,A,SFN,reedr001,0,2,RS
SFN197304180,A,SFN,mortc102,3,4,RS
CIN197304200,A,CIN,gentg101,2,4,RS
CIN197304210,A,CIN,dobsp101,5,4,RS
CIN197304220,A,CIN,reedr001,3,6,RS
ATL197304240,H,PHI,mortc102,11,2,RS
ATL197304250,H,PHI,gentg101,5,2,RS
ATL197304270,H,NYN,dobsp101,2,0,RS
ATL197304280,H,NYN,reedr001,2,4,RS
ATL197304290,H,NYN,mortc102,0,1,RS
ATL197305010,H,MON,gentg101,6,9,RS
ATL197305020,H,MON,dobsp101,2,3,RS
PHI197305040,A,PHI,reedr001,4,5,RS
PHI197305050,A,PHI,mortc102,7,0,RS
PHI197305060,A,PHI,gentg101,3,1,RS
NYN197305070,A,NYN,dobsp101,2,7,RS
NYN197305080,A,NYN,reedr001,10,6,RS
NYN197305090,A,NYN,mortc102,1,8,RS
ATL197305120,H,SDN,gentg101,14,2,RS
ATL197305131,H,SDN,dobsp101,4,6,RS
ATL197305132,H,SDN,reedr001,6,2,RS
HOU197305140,A,HOU,mortc102,7,1,RS
HOU197305150,A,HOU,niekp001,4,1,RS
HOU197305160,A,HOU,gentg101,5,2,RS
HOU197305170,A,HOU,dobsp101,1,2,RS
ATL197305180,H,LAN,reedr001,2,3,RS
ATL197305190,H,LAN,mortc102,7,7,RS
ATL197305201,H,LAN,niekp001,3,2,RS
ATL197305202,H,LAN,gentg101,3,8,RS
ATL197305220,H,SFN,dobsp101,3,7,RS
ATL197305240,H,SFN,mortc102,2,1,RS
SLN197305250,A,SLN,reedr001,1,4,RS
SLN197305260,A,SLN,niekp001,0,2,RS
SLN197305270,A,SLN,gentg101,4,5,RS
SLN197305280,A,SLN,harrr102,2,3,RS
PIT197305290,A,PIT,mortc102,1,6,RS
PIT197305300,A,PIT,reedr001,2,4,RS
PIT197305310,A,PIT,gentg101,1,3,RS
CHN197306010,A,CHN,harrr102,8,7,RS
CHN197306020,A,CHN,mortc102,3,4,RS
CHN197306030,A,CHN,reedr001,0,3,RS
MON197306050,A,MON,gentg101,6,7,RS
MON197306060,A,MON,niekp001,5,3,RS
MON197306070,A,MON,mortc102,3,2,RS
ATL197306080,H,SLN,reedr001,5,3,RS
ATL197306090,H,SLN,niekp001,8,2,RS
ATL197306101,H,SLN,gentg101,3,4,RS
ATL197306102,H,SLN,harrr102,5,2,RS
ATL197306110,H,PIT,mortc102,9,7,RS
ATL197306120,H,PIT,niekp001,4,2,RS
ATL197306130,H,PIT,reedr001,18,3,RS
ATL197306150,H,CHN,harrr102,8,3,RS
ATL197306160,H,CHN,niekp001,3,4,RS
ATL197306171,H,CHN,mortc102,3,9,RS
ATL197306172,H,CHN,freej104,8,5,RS
LAN197306180,A,LAN,reedr001,3,13,RS
LAN197306190,A,LAN,niekp001,0,3,RS
LAN197306200,A,LAN,harrr102,5,6,RS
LAN197306210,A,LAN,mortc102,0,5,RS
SDN197306220,A,SDN,niekp001,7,3,RS
SDN197306231,A,SDN,reedr001,0,2,RS
SDN197306232,A,SDN,freej104,3,9,RS
SDN197306240,A,SDN,mortc102,6,1,RS
SFN197306260,A,SFN,schur101,9,2,RS
SFN197306270,A,SFN,devia101,5,6,RS
ATL197306281,H,LAN,niekp001,3,2,RS
ATL197306282,H,LAN,reedr001,3,8,RS
ATL197306290,H,LAN,mortc102,9,12,RS
ATL197306300,H,SFN,harrr102,5,2,RS
ATL197307011,H,SFN,schur101,6,14,RS
ATL197307012,H,SFN,niekp001,8,7,RS
ATL197307020,H,SFN,freej104,5,9,RS
ATL197307030,H,HOU,mortc102,1,0,RS
ATL197307041,H,HOU,reedr001,4,11,RS
ATL197307042,H,HOU,niekp001,8,12,RS
ATL197307050,H,HOU,harrr102,7,4,RS
NYN197307060,A,NYN,schur101,2,0,RS
NYN197307070,A,NYN,mortc102,9,8,RS
NYN197307080,A,NYN,niekp001,4,2,RS
PHI197307090,A,PHI,reedr001,6,3,RS
PHI197307100,A,PHI,harrr102,4,2,RS
PHI197307110,A,PHI,schur101,5,6,RS
ATL197307131,H,MON,niekp001,7,11,RS
ATL197307132,H,MON,mortc102,15,6,RS
ATL197307140,H,MON,harrr102,4,1,RS
ATL197307150,H,MON,schur101,6,1,RS
ATL197307160,H,NYN,niekp001,8,6,RS
ATL197307170,H,NYN,mortc102,7,8,RS
ATL197307180,H,NYN,harrr102,2,12,RS
ATL197307200,H,PHI,niekp001,4,6,RS
ATL197307210,H,PHI,schur101,4,8,RS
ATL197307221,H,PHI,freej104,5,6,RS
ATL197307222,H,PHI,mortc102,1,5,RS
CIN197307261,A,CIN,schur101,3,5,RS
CIN197307262,A,CIN,niekp001,6,4,RS
CIN197307270,A,CIN,mortc102,2,12,RS
HOU197307280,A,HOU,harrr102,3,1,RS
HOU197307290,A,HOU,niekp001,5,8,RS
HOU197307300,A,HOU,schur101,7,3,RS
ATL197307311,H,CIN,mortc102,5,9,RS
ATL197307312,H,CIN,freej104,11,13,RS
ATL197308010,H,CIN,niekp001,14,6,RS
ATL197308020,H,CIN,harrr102,2,17,RS
ATL197308030,H,SDN,schur101,5,4,RS
ATL197308041,H,SDN,neibg101,3,4,RS
ATL197308042,H,SDN,mortc102,14,3,RS
ATL197308050,H,SDN,niekp001,9,0,RS
SLN197308080,A,SLN,schur101,4,1,RS
SLN197308090,A,SLN,mortc102,8,6,RS
PIT197308100,A,PIT,niekp001,5,4,RS
PIT197308110,A,PIT,harrr102,9,3,RS
PIT197308120,A,PIT,schur101,2,5,RS
CHN197308140,A,CHN,mortc102,6,2,RS
CHN197308150,A,CHN,niekp001,15,1,RS
CHN197308160,A,CHN,harrr102,10,2,RS
MON197308170,A,MON,schur101,7,8,RS
MON197308180,A,MON,mortc102,3,1,RS
MON197308190,A,MON,niekp001,1,3,RS
ATL197308210,H,SLN,harrr102,11,7,RS
ATL197308220,H,SLN,schur101,4,6,RS
ATL197308240,H,PIT,mortc102,3,2,RS
