id,loc,opp,starter,rs,ra,round
WAS201103310,A,WAS,lowed001,2,0,RS
WAS201104020,A,WAS,hanst001,3,6,RS
WAS201104030,A,WAS,hudst001,11,2,RS
MIL201104040,A,MIL,beacb001,2,1,RS
MIL201104050,A,MIL,lowed001,0,1,RS
MIL201104060,A,MIL,minom001,4,5,RS
MIL201104070,A,MIL,hanst001,2,4,RS
ATL201104080,H,PHI,hudst001,6,3,RS
ATL201104090,H,PHI,beacb001,2,10,RS
ATL201104100,H,PHI,lowed001,0,3,RS
ATL201104120,H,FLO,hanst001,5,0,RS
ATL201104130,H,FLO,hudst001,1,5,RS
ATL201104140,H,FLO,beacb001,5,6,RS
ATL201104161,H,NYN,lowed001,4,2,RS
ATL201104162,H,NYN,jurrj001,4,0,RS
ATL201104170,H,NYN,hanst001,2,3,RS
LAN201104180,A,LAN,hudst001,2,4,RS
LAN201104190,A,LAN,beacb001,10,1,RS
LAN201104200,A,LAN,lowed001,1,6,RS
LAN201104210,A,LAN,jurrj001,3,5,RS
SFN201104220,A,SFN,hanst001,4,1,RS
SFN201104230,A,SFN,hudst001,5,2,RS
SFN201104240,A,SFN,beacb001,9,6,RS
SDN201104250,A,SDN,lowed001,3,5,RS
SDN201104260,A,SDN,jurrj001,8,2,RS
SDN201104270,A,SDN,hanst001,7,0,RS
ATL201104290,H,SLN,hudst001,3,5,RS
ATL201104300,H,SLN,beacb001,2,3,RS
ATL201105010,H,SLN,lowed001,6,5,RS
ATL201105020,H,MIL,jurrj001,6,2,RS
ATL201105041,H,MIL,hanst001,8,3,RS
ATL201105042,H,MIL,hudst001,8,0,RS
ATL201105050,H,MIL,beacb001,2,1,RS
PHI201105060,A,PHI,lowed001,5,0,RS
PHI201105070,A,PHI,tehej001,0,3,RS
PHI201105080,A,PHI,jurrj001,5,2,RS
ATL201105100,H,WAS,hudst001,6,7,RS
ATL201105110,H,WAS,hanst001,3,7,RS
ATL201105120,H,WAS,lowed001,6,5,RS
ATL201105130,H,PHI,beacb001,4,5,RS
ATL201105140,H,PHI,jurrj001,5,3,RS
ATL201105150,H,PHI,hudst001,3,2,RS
ATL201105160,H,HOU,hanst001,3,2,RS
ATL201105170,H,HOU,lowed001,3,1,RS
ARI201105180,A,ARI,tehej001,4,5,RS
ARI201105190,A,ARI,jurrj001,1,2,RS
ANA201105200,A,ANA,hudst001,0,9,RS
ANA201105210,A,ANA,hanst001,5,4,RS
ANA201105220,A,ANA,lowed001,1,4,RS
PIT201105240,A,PIT,jurrj001,2,0,RS
PIT201105250,A,PIT,minom001,4,2,RS
ATL201105270,H,CIN,hanst001,1,5,RS
ATL201105280,H,CIN,lowed001,7,6,RS
ATL201105290,H,CIN,jurrj001,2,1,RS
ATL201105300,H,SDN,hudst001,2,3,RS
ATL201105310,H,SDN,minom001,4,5,RS
ATL201106010,H,SDN,hanst001,4,3,RS
NYN201106030,A,NYN,lowed001,6,3,RS
NYN201106040,A,NYN,jurrj001,0,5,RS
NYN201106050,A,NYN,hudst001,4,6,RS
FLO201106070,A,FLO,hanst001,1,0,RS
FLO201106080,A,FLO,lowed001,3,2,RS
FLO201106090,A,FLO,jurrj001,3,2,RS
HOU201106100,A,HOU,hudst001,11,4,RS
HOU201106110,A,HOU,minom001,6,3,RS
HOU201106120,A,HOU,hanst001,4,1,RS
HOU201106130,A,HOU,lowed001,3,8,RS
ATL201106140,H,NYN,jurrj001,3,4,RS
ATL201106150,H,NYN,hudst001,0,4,RS
ATL201106160,H,NYN,minom001,9,8,RS
ATL201106170,H,TEX,delgr001,2,6,RS
ATL201106180,H,TEX,lowed001,4,5,RS
ATL201106190,H,TEX,jurrj001,4,2,RS
ATL201106200,H,TOR,hudst001,2,0,RS
ATL201106210,H,TOR,minom001,5,1,RS
ATL201106220,H,TOR,beacb001,5,1,RS
SDN201106240,A,SDN,lowed001,2,11,RS
SDN201106250,A,SDN,jurrj001,10,1,RS
SDN201106260,A,SDN,hudst001,1,4,RS
SEA201106270,A,SEA,beacb001,3,1,RS
SEA201106280,A,SEA,hanst001,5,4,RS
SEA201106290,A,SEA,lowed001,5,3,RS
ATL201107010,H,BAL,jurrj001,4,0,RS
ATL201107020,H,BAL,hudst001,5,4,RS
ATL201107030,H,BAL,beacb001,4,5,RS
ATL201107040,H,COL,hanst001,4,1,RS
ATL201107050,H,COL,lowed001,5,3,RS
ATL201107060,H,COL,jurrj001,9,1,RS
ATL201107070,H,COL,hudst001,6,3,RS
PHI201107080,A,PHI,beacb001,2,3,RS
PHI201107090,A,PHI,hanst001,4,1,RS
PHI201107100,A,PHI,lowed001,1,14,RS
ATL201107150,H,WAS,hudst001,11,1,RS
ATL201107160,H,WAS,hanst001,2,5,RS
ATL201107170,H,WAS,jurrj001,9,8,RS
COL201107180,A,COL,lowed001,7,4,RS
COL201107190,A,COL,beacb001,3,12,RS
COL201107200,A,COL,hudst001,2,3,RS
COL201107210,A,COL,hanst001,9,6,RS
CIN201107220,A,CIN,jurrj001,6,4,RS
CIN201107230,A,CIN,lowed001,2,11,RS
CIN201107240,A,CIN,beacb001,3,4,RS
ATL201107250,H,PIT,hudst001,1,3,RS
ATL201107260,H,PIT,hanst001,4,3,RS
ATL201107270,H,PIT,jurrj001,2,1,RS
ATL201107280,H,PIT,lowed001,2,5,RS
ATL201107290,H,FLO,beacb001,5,0,RS
ATL201107300,H,FLO,hudst001,5,1,RS
ATL201107310,H,FLO,hanst001,1,3,RS
WAS201108010,A,WAS,jurrj001,3,5,RS
WAS201108020,A,WAS,lowed001,3,9,RS
WAS201108030,A,WAS,beacb001,6,4,RS
NYN201108050,A,NYN,hudst001,4,1,RS
NYN201108060,A,NYN,hanst001,7,11,RS
NYN201108070,A,NYN,minom001,6,5,RS
FLO201108080,A,FLO,lowed001,8,5,RS
FLO201108090,A,FLO,beacb001,4,3,RS
FLO201108100,A,FLO,hudst001,6,2,RS
ATL201108120,H,CHN,minom001,10,4,RS
ATL201108130,H,CHN,lowed001,4,8,RS
ATL201108140,H,CHN,beacb001,5,6,RS
ATL201108150,H,SFN,hudst001,5,4,RS
ATL201108160,H,SFN,delgr001,2,1,RS
ATL201108170,H,SFN,jurrj001,5,7,RS
ATL201108180,H,SFN,minom001,1,0,RS
ATL201108190,H,ARI,lowed001,4,2,RS
ATL201108200,H,ARI,beacb001,8,1,RS
ATL201108210,H,ARI,hudst001,1,0,RS
CHN201108220,A,CHN,jurrj001,3,0,RS
CHN201108230,A,CHN,minom001,5,4,RS
CHN201108240,A,CHN,lowed001,2,3,RS
CHN201108250,A,CHN,beacb001,8,3,RS
NYN201108260,A,NYN,hudst001,0,6,RS
ATL201108300,H,WAS,jurrj001,2,9,RS
ATL201108310,H,WAS,lowed001,3,1,RS
ATL201109010,H,WAS,hudst001,5,2,RS
ATL201109020,H,LAN,beacb001,6,8,RS
ATL201109030,H,LAN,minom001,1,2,RS
ATL201109040,H,LAN,delgr001,4,3,RS
PHI201109050,A,PHI,lowed001,0,9,RS
PHI201109060,A,PHI,hudst001,3,6,RS
PHI201109070,A,PHI,beacb001,2,3,RS
NYN201109081,A,NYN,minom001,6,5,RS
NYN201109082,A,NYN,tehej001,5,1,RS
SLN201109090,A,SLN,delgr001,3,4,RS
SLN201109100,A,SLN,lowed001,3,4,RS
SLN201109110,A,SLN,hudst001,3,6,RS
ATL201109120,H,FLO,beacb001,4,5,RS
ATL201109130,H,FLO,minom001,7,1,RS
ATL201109140,H,FLO,delgr001,4,1,RS
ATL201109160,H,NYN,lowed001,2,12,RS
ATL201109170,H,NYN,hudst001,1,0,RS
ATL201109180,H,NYN,beacb001,5,7,RS
FLO201109190,A,FLO,minom001,5,6,RS
FLO201109200,A,FLO,delgr001,4,0,RS
FLO201109210,A,FLO,lowed001,0,4,RS
WAS201109230,A,WAS,hudst001,7,4,RS
WAS201109240,A,WAS,beacb001,1,4,RS
WAS201109250,A,WAS,minom001,0,3,RS
ATL201109260,H,PHI,delgr001,2,4,RS
ATL201109270,H,PHI,lowed001,1,7,RS
ATL201109280,H,PHI,hudst001,3,4,RS
