id,loc,opp,starter,rs,ra,round
ATL201004050,H,CHN,lowed001,16,5,RS
ATL201004070,H,CHN,jurrj001,3,2,RS
ATL201004080,H,CHN,hanst001,0,2,RS
SFN201004090,A,SFN,hudst001,4,5,RS
SFN201004100,A,SFN,lowed001,7,2,RS
SFN201004110,A,SFN,kawak001,3,6,RS
SDN201004120,A,SDN,jurrj001,2,17,RS
SDN201004140,A,SDN,hanst001,6,1,RS
SDN201004150,A,SDN,hudst001,6,2,RS
ATL201004160,H,COL,lowed001,9,5,RS
ATL201004170,H,COL,kawak001,0,4,RS
ATL201004180,H,COL,jurrj001,4,3,RS
ATL201004200,H,PHI,hanst001,4,3,RS
ATL201004210,H,PHI,hudst001,0,2,RS
ATL201004220,H,PHI,lowed001,3,8,RS
NYN201004230,A,NYN,kawak001,2,5,RS
NYN201004240,A,NYN,jurrj001,1,3,RS
NYN201004250,A,NYN,hanst001,0,1,RS
SLN201004260,A,SLN,hudst001,3,4,RS
SLN201004270,A,SLN,lowed001,4,5,RS
SLN201004280,A,SLN,kawak001,0,6,RS
SLN201004290,A,SLN,jurrj001,4,10,RS
ATL201004300,H,HOU,hanst001,4,2,RS
ATL201005010,H,HOU,hudst001,10,1,RS
ATL201005020,H,HOU,lowed001,7,1,RS
WAS201005040,A,WAS,kawak001,3,6,RS
WAS201005050,A,WAS,hanst001,7,6,RS
WAS201005060,A,WAS,hudst001,2,3,RS
PHI201005070,A,PHI,lowed001,0,7,RS
PHI201005080,A,PHI,medlk001,4,1,RS
PHI201005090,A,PHI,kawak001,3,5,RS
MIL201005100,A,MIL,hanst001,8,2,RS
MIL201005110,A,MIL,hudst001,11,3,RS
MIL201005120,A,MIL,lowed001,9,2,RS
ATL201005140,H,ARI,kawak001,6,5,RS
ATL201005150,H,ARI,hanst001,1,11,RS
ATL201005160,H,ARI,hudst001,13,1,RS
ATL201005170,H,NYN,lowed001,2,3,RS
ATL201005180,H,NYN,medlk001,3,2,RS
ATL201005190,H,CIN,kawak001,5,4,RS
ATL201005200,H,CIN,hanst001,10,9,RS
PIT201005210,A,PIT,hudst001,7,0,RS
PIT201005220,A,PIT,lowed001,4,2,RS
PIT201005230,A,PIT,medlk001,2,3,RS
FLO201005250,A,FLO,kawak001,4,6,RS
FLO201005260,A,FLO,hanst001,7,3,RS
FLO201005270,A,FLO,hudst001,8,3,RS
ATL201005280,H,PIT,lowed001,7,3,RS
ATL201005290,H,PIT,medlk001,6,3,RS
ATL201005300,H,PIT,kawak001,5,2,RS
ATL201005310,H,PHI,hanst001,9,3,RS
ATL201006010,H,PHI,hudst001,7,3,RS
ATL201006020,H,PHI,lowed001,2,1,RS
LAN201006030,A,LAN,medlk001,4,3,RS
LAN201006040,A,LAN,kawak001,4,5,RS
LAN201006050,A,LAN,hanst001,9,3,RS
LAN201006060,A,LAN,hudst001,4,5,RS
ARI201006070,A,ARI,lowed001,4,7,RS
ARI201006080,A,ARI,medlk001,7,5,RS
ARI201006090,A,ARI,kawak001,1,2,RS
ARI201006100,A,ARI,hanst001,11,7,RS
MIN201006110,A,MIN,hudst001,1,2,RS
MIN201006120,A,MIN,lowed001,3,2,RS
MIN201006130,A,MIN,medlk001,7,3,RS
ATL201006150,H,TBA,kawak001,4,10,RS
ATL201006160,H,TBA,hanst001,6,2,RS
ATL201006170,H,TBA,hudst001,3,1,RS
ATL201006180,H,KCA,lowed001,6,4,RS
ATL201006190,H,KCA,medlk001,5,4,RS
ATL201006200,H,KCA,kawak001,8,5,RS
CHA201006220,A,CHA,hanst001,6,9,RS
CHA201006230,A,CHA,hudst001,2,4,RS
CHA201006240,A,CHA,lowed001,0,2,RS
ATL201006250,H,DET,medlk001,3,1,RS
ATL201006260,H,DET,kawak001,4,3,RS
ATL201006270,H,DET,hanst001,4,10,RS
