id,loc,opp,starter,rs,ra,round
HOU199704010,A,HOU,smolj001,1,2,RS
HOU199704020,A,HOU,maddg002,3,4,RS
HOU199704030,A,HOU,glavt001,3,2,RS
ATL199704040,H,CHN,neagd001,5,4,RS
ATL199704050,H,CHN,lopej001,11,5,RS
ATL199704060,H,CHN,maddg002,4,0,RS
ATL199704080,H,HOU,glavt001,4,2,RS
ATL199704090,H,HOU,neagd001,4,3,RS
ATL199704100,H,HOU,smolj001,3,5,RS
CHN199704120,A,CHN,maddg002,2,1,RS
CHN199704130,A,CHN,glavt001,6,4,RS
ATL199704140,H,CIN,neagd001,15,5,RS
ATL199704150,H,CIN,smolj001,3,0,RS
ATL199704160,H,CIN,wadet001,7,1,RS
COL199704180,A,COL,glavt001,14,0,RS
COL199704190,A,COL,neagd001,8,7,RS
COL199704200,A,COL,smolj001,2,9,RS
SFN199704220,A,SFN,maddg002,4,0,RS
SFN199704230,A,SFN,glavt001,3,4,RS
ATL199704250,H,SDN,neagd001,5,4,RS
ATL199704260,H,SDN,smolj001,3,2,RS
ATL199704270,H,SDN,maddg002,2,0,RS
ATL199704280,H,LAN,glavt001,14,0,RS
ATL199704290,H,LAN,wadet001,2,6,RS
CIN199704300,A,CIN,neagd001,12,3,RS
CIN199705010,A,CIN,smolj001,4,2,RS
ATL199705020,H,PIT,maddg002,2,3,RS
ATL199705030,H,PIT,glavt001,0,3,RS
ATL199705040,H,PIT,wadet001,3,1,RS
SLN199705050,A,SLN,neagd001,2,1,RS
SLN199705060,A,SLN,smolj001,3,4,RS
FLO199705070,A,FLO,maddg002,3,2,RS
FLO199705080,A,FLO,glavt001,1,5,RS
PIT199705090,A,PIT,wadet001,0,9,RS
PIT199705100,A,PIT,neagd001,9,3,RS
PIT199705110,A,PIT,smolj001,8,2,RS
PIT199705120,A,PIT,maddg002,10,2,RS
ATL199705130,H,FLO,wadet001,5,11,RS
ATL199705140,H,FLO,neagd001,3,4,RS
ATL199705160,H,SLN,maddg002,1,0,RS
