version,2
info,visteam,TOR
info,hometeam,CLE
info,site,CLE08
info,date,2000/07/05
info,number,0
info,starttime,7:05PM
info,daynight,night
info,usedh,true
info,umphome,reilm901
info,ump1b,vanvm901
info,ump2b,coope901
info,ump3b,diazl901
info,pitches,pitches
info,temp,76
info,winddir,fromrf
info,windspeed,8
info,fieldcond,unknown
info,precip,unknown
info,sky,sunny
info,timeofgame,212
info,attendance,43141
info,wp,brewj001
info,lp,quanp001
info,save,
start,stews002,"Shannon Stewart",0,1,7
start,gonza001,"Alex S. Gonzalez",0,2,6
start,mondr002,"Raul Mondesi",0,3,9
start,delgc001,"Carlos Delgado",0,4,3
start,fullb001,"Brad Fullmer",0,5,10
start,batit001,"Tony Batista",0,6,5
start,fletd001,"Darrin Fletcher",0,7,2
start,cruzj004,"Jose Cruz",0,8,8
play,6,1,leder001,22,FBBCX,7/F7D
play,6,1,thomj002,32,BCBFBFB,W
play,6,1,frymt001,22,CCBBX,46(1)3/GDP
play,7,0,stews002,12,BCFS,K
play,7,0,gonza001,00,X,8/F8S
play,7,0,mondr002,02,SFS,K
play,7,1,branr001,11,BFX,S9
play,7,1,aloms001,21,FBBX,S7.1-2
play,7,1,loftk001,22,BFLFBC,K/C
play,7,1,ramia002,32,CBFFFFBBB,W.2-3;1-2
play,7,1,alomr001,00,,NP
sub,dewim001,"Matt DeWitt",0,0,1
play,7,1,alomr001,10,BX,S/78.3-H;2-H;1-2
play,7,1,vizqo001,22,BSFBFX,8/F8
play,7,1,leder001,00,X,S9/9S.2-H;1-3;B-2(TH)
play,7,1,thomj002,12,CBSX,D8/8D.3-H;2-H
play,7,1,frymt001,22,SSBBX,9/F9
play,8,0,delgc001,00,,NP
sub,lorra001,"Andrew Lorraine",1,0,1
play,8,0,delgc001,22,CBBFX,6/P6
play,8,0,fullb001,22,BBFFFX,5/FL
play,8,0,batit001,21,BCBX,D7/7D
play,8,0,fletd001,21,BBFX,31/G
play,8,1,branr001,32,BFCBBB,W
play,8,1,aloms001,12,CBSS,K
play,8,1,loftk001,32,BCBCFBB,W.1-2
play,8,1,ramia002,10,BX,54(1)3/GDP
play,9,0,cruzj004,00,,NP
sub,cabrj002,"Jolbert Cabrera",1,1,4
play,9,0,cruzj004,00,,NP
sub,reeds001,"Steve Reed",1,0,1
play,9,0,cruzj004,31,CBBBB,W
play,9,0,bushh001,01,CX,S.1-2
play,9,0,stews002,12,BCFX,54(1)3/GDP.2-3
play,9,0,gonza001,22,BSBFS,K
data,er,hallr001,6
data,er,quanp001,7
data,er,dewim001,2
data,er,browj003,4
data,er,willb001,2
data,er,brewj001,0
data,er,lorra001,0
data,er,reeds001,0
