version,2
info,visteam,KCA
info,hometeam,ANA
info,site,ANA01
info,date,2000/05/20
info,number,0
info,starttime,7:05PM
info,daynight,night
info,usedh,true
info,umphome,tscht901
info,ump1b,meric901
info,ump2b,gibsg901
info,ump3b,ripps901
info,pitches,pitches
info,oscorer,munse701
info,temp,75
info,winddir,ltor
info,windspeed,6
info,fieldcond,unknown
info,precip,unknown
info,sky,sunny
info,timeofgame,221
info,attendance,30869
info,wp,hases001
info,lp,reicd001
info,save,perct001
start,damoj001,"Johnny Damon",0,1,7
start,reboj001,"Jeff Reboulet",0,2,4
start,sweem002,"Mike Sweeney",0,3,3
start,dye-j001,"Jermaine Dye",0,4,9
start,randj002,"Joe Randa",0,5,5
start,beltc001,"Carlos Beltran",0,6,8
start,quinm001,"Mark Quinn",0,7,10
start,fabrj001,"Jorge Fabregas",0,8,2
play,6,1,molib001,22,FBFBX,9/F9
play,6,1,gil-b001,00,X,D7/7D
play,6,1,erstd001,11,BFX,63/G
play,7,0,beltc001,30,BBBB,W
play,7,0,quinm001,01,SX,E6/G.1-3
play,7,0,fabrj001,21,BSBX,8/F8S
play,7,0,sancr001,00,,NP
sub,hases001,"Shigetoshi Hasegawa",1,0,1
play,7,0,sancr001,10,BX,S7/7S.3-H(UR);1-2
play,7,0,damoj001,00,X,7/F7
play,7,0,reboj001,32,CBBCBFB,W.2-3;1-2
play,7,0,sweem002,20,BBX,D8/8D.3-H(UR);2-H(TUR);1-H(TUR);B-3(THH)
play,7,0,mccad001,32,BSBBCFB,W
play,7,0,randj002,32,CBFFBBFFFFS,K
play,7,1,kenna001,00,,NP
sub,spolp001,"Paul Spoljaric",0,0,1
play,7,1,kenna001,31,BBCBB,W
play,7,1,vaugm001,21,BBSX,HR/9.1-H
play,7,1,salmt001,00,,NP
sub,reicd001,"Dan Reichert",0,0,1
play,7,1,salmt001,00,H,HP
play,7,1,andeg001,02,CFS,K
play,7,1,glaut001,11,CBB,WP.1-2
play,7,1,glaut001,21,CBBB,WP.2-3
play,7,1,glaut001,31,CBBBB,W
play,7,1,spies001,21,BBCX,S9.3-H;1X3(95)
play,7,1,molib001,22,BFBCX,S/89S.1-H;B-2(THH)
play,7,1,gil-b001,32,BBBCSB,W
play,7,1,erstd001,31,BBBCB,W.2-3;1-2
play,7,1,kenna001,22,CBBCX,43/G
play,8,0,beltc001,00,,NP
sub,hincb001,"Brett Hinchliffe",1,0,1
play,8,0,beltc001,11,SBX,8/F8
play,8,0,quinm001,31,BBBCX,7/F7D
play,8,0,fabrj001,20,BBX,7/F7
play,8,1,vaugm001,20,BBX,63/G
play,8,1,salmt001,01,CX,53/G
play,8,1,andeg001,01,FX,13/G
play,9,0,sancr001,00,,NP
sub,perct001,"Troy Percival",1,0,1
play,9,0,sancr001,12,CBCS,K
play,9,0,damoj001,00,X,8/F8
play,9,0,reboj001,00,,NP
sub,poses001,"Scott Pose",0,2,11
play,9,0,poses001,31,BBBCB,W
play,9,0,sweem002,11,BCX,53/G
data,er,suzum001,5
data,er,witaj001,0
data,er,spolp001,2
data,er,reicd001,2
data,er,levia001,4
data,er,fyhrm001,0
data,er,holtm001,0
data,er,weave001,0
data,er,hases001,2
data,er,hincb001,0
data,er,perct001,0
