version,2
info,visteam,OAK
info,hometeam,TEX
info,site,ARL02
info,date,2000/05/05
info,number,0
info,starttime,7:05PM
info,daynight,night
info,usedh,true
info,umphome,froeb901
info,ump1b,wintm901
info,ump2b,culbf901
info,ump3b,welkb901
info,pitches,pitches
info,temp,76
info,winddir,rtol
info,windspeed,17
info,fieldcond,unknown
info,precip,unknown
info,sky,cloudy
info,timeofgame,241
info,attendance,38949
info,wp,wettj001
info,lp,tam-j001
info,save,
start,longt002,"Terrence Long",0,1,8
start,tejam001,"Miguel Tejada",0,2,6
start,giamj001,"Jason Giambi",0,3,3
start,saeno001,"Olmedo Saenz",0,4,10
start,grieb001,"Ben Grieve",0,5,7
start,piata001,"Adam Piatt",0,6,5
start,giamj002,"Jeremy Giambi",0,7,9
start,hernr002,"Ramon Hernandez",0,8,2
sub,zimmj001,"Jeff Zimmerman",1,0,1
play,8,0,hernr002,12,CCBX,9/F9
play,8,0,menef001,00,X,13/BG
play,8,0,longt002,22,BFSBX,HR/9
play,8,0,tejam001,32,BBBCSC,K/C
play,8,1,curtc001,12,FCBX,S8
play,8,1,rodri001,00,X,D9.1-3
play,8,1,palmr001,02,CFX,S9.3-H;2-H
play,8,1,mater001,00,,NP
sub,matht002,"T.J. Mathews",0,0,1
play,8,1,mater001,12,BFFX,S8.1-2
play,8,1,evant001,11,CBX,S7/7S.2-3;1-2
play,8,1,alicl001,00,,NP
sub,magnm001,"Mike Magnante",0,0,1
play,8,1,alicl001,00,X,S9.3-H;2-H;1-2
play,8,1,mcdoj002,11,BCX,14/SH.2-3;1-2
play,8,1,shels001,22,SBSBX,S8.3-H;2-H
play,8,1,clayr001,00,,NP
sub,tam-j001,"Jeff Tam",0,0,1
play,8,1,clayr001,02,FFX,64(1)3/GDP
play,9,0,giamj001,00,,NP
sub,wettj001,"John Wetteland",1,0,1
play,9,0,giamj001,12,CFBS,K
play,9,0,saeno001,22,BSFBX,4/P4
play,9,0,grieb001,21,BCBX,S7/7S
play,9,0,piata001,00,,NP
sub,chave001,"Eric Chavez",0,6,11
play,9,0,chave001,00,,NP
sub,chrir001,"Ryan Christenson",0,5,12
play,9,0,chave001,21,BFBX,8/F8
play,9,1,curtc001,00,,NP
sub,chave001,"Eric Chavez",0,6,5
play,9,1,curtc001,00,,NP
sub,chrir001,"Ryan Christenson",0,5,7
play,9,1,curtc001,00,X,S7
play,9,1,rodri001,00,X,54(1)/FO
play,9,1,palmr001,30,BBBB,W.1-2
play,9,1,mater001,02,CFX,E1/G.2-3;1-2
play,9,1,evant001,00,,NP
sub,lambm001,"Mike Lamb",1,6,11
play,9,1,lambm001,32,BBBCFX,S9.3-H;2-3;1-2
data,er,muldm001,7
data,er,vizcl001,3
data,er,joned001,3
data,er,matht002,2
data,er,magnm001,1
data,er,tam-j001,1
data,er,olivd001,5
data,er,perim001,7
data,er,zimmj001,1
data,er,wettj001,0
