id,game,ord,pos,PA,AB,H,BB,R,RBI,K,1B,2B,3B,HR,HBP,SB,CS,IBB,GIDP,INT,SH,SF,team,opp,loc,age,rookie,regpost,gs
benam001,SFN200010040,1,8,4,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,SFN,NYN,1,30,0,3,0
davir002,SFN200010040,1,11,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,SFN,NYN,1,30,0,3,0
nen-r001,SFN200010040,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SFN,NYN,1,30,0,3,0
muelb001,SFN200010040,2,5,5,5,2,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,SFN,NYN,1,30,0,3,0
bondb001,SFN200010040,3,7,4,3,2,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,SFN,NYN,1,30,0,3,0
kentj001,SFN200010040,4,4,4,3,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,SFN,NYN,1,30,0,3,0
burke001,SFN200010040,5,9,4,3,1,1,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,SFN,NYN,1,30,0,3,0
aurir001,SFN200010040,6,6,4,4,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,SFN,NYN,1,30,0,3,0
snowj001,SFN200010040,7,3,4,3,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,SFN,NYN,1,30,0,3,0
estab001,SFN200010040,8,2,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,SFN,NYN,1,30,0,3,0
hernl003,SFN200010040,9,1,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,SFN,NYN,1,30,0,3,0
rodrf002,SFN200010040,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SFN,NYN,1,30,0,3,0
cresf001,SFN200010040,9,11,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,SFN,NYN,1,30,0,3,0
murrc001,SFN200010040,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SFN,NYN,1,30,0,3,0
agbab001,SFN200010040,1,7,4,3,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,NYN,SFN,0,30,0,3,0
cookd001,SFN200010040,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYN,SFN,0,30,0,3,0
whitr002,SFN200010040,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYN,SFN,0,30,0,3,0
mcewj001,SFN200010040,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYN,SFN,0,30,0,3,0
harrl001,SFN200010040,1,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYN,SFN,0,30,0,3,0
paytj001,SFN200010040,2,8,4,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,NYN,SFN,0,30,0,3,0
alfoe001,SFN200010040,3,4,4,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NYN,SFN,0,30,0,3,0
piazm001,SFN200010040,4,2,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYN,SFN,0,30,0,3,0
ventr001,SFN200010040,5,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYN,SFN,0,30,0,3,0
zeilt001,SFN200010040,6,3,4,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NYN,SFN,0,30,0,3,0
belld001,SFN200010040,7,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYN,SFN,0,30,0,3,0
hamid001,SFN200010040,7,9,3,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NYN,SFN,0,30,0,3,0
ruscg001,SFN200010040,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYN,SFN,0,30,0,3,0
bordm001,SFN200010040,8,6,4,3,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,NYN,SFN,0,30,0,3,0
hampm001,SFN200010040,9,1,2,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,NYN,SFN,0,30,0,3,0
wendt001,SFN200010040,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYN,SFN,0,30,0,3,0
peret004,SFN200010040,9,11,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYN,SFN,0,30,0,3,0
murrc001,SFN200010050,1,8,4,4,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,SFN,NYN,1,30,0,3,0
benam001,SFN200010050,1,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,SFN,NYN,1,30,0,3,0
muelb001,SFN200010050,2,5,5,5,1,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,SFN,NYN,1,30,0,3,0
bondb001,SFN200010050,3,7,5,5,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,SFN,NYN,1,30,0,3,0
kentj001,SFN200010050,4,3,4,4,2,0,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,SFN,NYN,1,30,0,3,0
burke001,SFN200010050,5,9,4,3,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,SFN,NYN,1,30,0,3,0
martr003,SFN200010050,6,4,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,SFN,NYN,1,30,0,3,0
snowj001,SFN200010050,6,11,1,1,1,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,SFN,NYN,1,30,0,3,0
aurir001,SFN200010050,7,6,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SFN,NYN,1,30,0,3,0
estab001,SFN200010050,8,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SFN,NYN,1,30,0,3,0
estes001,SFN200010050,9,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SFN,NYN,1,30,0,3,0
ruetk001,SFN200010050,9,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SFN,NYN,1,30,0,3,0
henrd002,SFN200010050,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SFN,NYN,1,30,0,3,0
cresf001,SFN200010050,9,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SFN,NYN,1,30,0,3,0
