id,game,ord,pos,PA,AB,H,BB,R,RBI,K,1B,2B,3B,HR,HBP,SB,CS,IBB,GIDP,INT,SH,SF,team,opp,loc,age,rookie,regpost,gs
rodrf002,SFN200010050,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SFN,NYN,1,30,0,3,0
riosa001,SFN200010050,9,11,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,SFN,NYN,1,30,0,3,0
peret004,SFN200010050,1,9,5,5,3,0,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0,NYN,SFN,0,30,0,3,0
alfoe001,SFN200010050,2,4,5,5,1,0,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,NYN,SFN,0,30,0,3,0
piazm001,SFN200010050,3,2,5,4,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,NYN,SFN,0,30,0,3,0
zeilt001,SFN200010050,4,3,5,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NYN,SFN,0,30,0,3,0
ventr001,SFN200010050,5,5,5,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NYN,SFN,0,30,0,3,0
agbab001,SFN200010050,6,7,4,2,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NYN,SFN,0,30,0,3,0
mcewj001,SFN200010050,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYN,SFN,0,30,0,3,0
hamid001,SFN200010050,6,11,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NYN,SFN,0,30,0,3,0
paytj001,SFN200010050,7,8,5,5,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,NYN,SFN,0,30,0,3,0
bordm001,SFN200010050,8,6,5,4,1,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,NYN,SFN,0,30,0,3,0
leita001,SFN200010050,9,1,4,4,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,NYN,SFN,0,30,0,3,0
benia001,SFN200010050,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYN,SFN,0,30,0,3,0
franj001,SFN200010050,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYN,SFN,0,30,0,3,0
peret004,NYN200010070,1,9,6,6,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,NYN,SFN,1,30,0,3,0
alfoe001,NYN200010070,2,4,6,5,2,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,NYN,SFN,1,30,0,3,0
piazm001,NYN200010070,3,2,5,4,1,1,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,NYN,SFN,1,30,0,3,0
mcewj001,NYN200010070,3,12,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NYN,SFN,1,30,0,3,0
ventr001,NYN200010070,4,5,6,5,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,NYN,SFN,1,30,0,3,0
agbab001,NYN200010070,5,7,6,6,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,NYN,SFN,1,30,0,3,0
paytj001,NYN200010070,6,8,5,5,1,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,NYN,SFN,1,30,0,3,0
zeilt001,NYN200010070,7,3,5,3,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NYN,SFN,1,30,0,3,0
whitr002,NYN200010070,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYN,SFN,1,30,0,3,0
bordm001,NYN200010070,8,6,4,2,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,NYN,SFN,1,30,0,3,0
benia001,NYN200010070,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYN,SFN,1,30,0,3,0
pratt001,NYN200010070,8,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYN,SFN,1,30,0,3,0
reedr002,NYN200010070,9,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYN,SFN,1,30,0,3,0
hamid001,NYN200010070,9,11,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NYN,SFN,1,30,0,3,0
cookd001,NYN200010070,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYN,SFN,1,30,0,3,0
wendt001,NYN200010070,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYN,SFN,1,30,0,3,0
harrl001,NYN200010070,9,11,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NYN,SFN,1,30,0,3,0
franj001,NYN200010070,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYN,SFN,1,30,0,3,0
abbok002,NYN200010070,9,6,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NYN,SFN,1,30,0,3,0
benam001,NYN200010070,1,8,7,6,1,1,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,SFN,NYN,0,30,0,3,0
muelb001,NYN200010070,2,5,7,6,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,SFN,NYN,0,30,0,3,0
bondb001,NYN200010070,3,7,7,5,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,SFN,NYN,0,30,0,3,0
kentj001,NYN200010070,4,4,6,6,2,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,SFN,NYN,0,30,0,3,0
burke001,NYN200010070,5,9,6,4,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,SFN,NYN,0,30,0,3,0
fulta001,NYN200010070,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SFN,NYN,0,30,0,3,0
snowj001,NYN200010070,6,3,6,4,2,2,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,SFN,NYN,0,30,0,3,0
aurir001,NYN200010070,7,6,4,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,SFN,NYN,0,30,0,3,0
nen-r001,NYN200010070,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SFN,NYN,0,30,0,3,0
riosa001,NYN200010070,7,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SFN,NYN,0,30,0,3,0
mirad001,NYN200010070,7,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SFN,NYN,0,30,0,3,0
estab001,NYN200010070,8,2,4,4,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,SFN,NYN,0,30,0,3,0
cresf001,NYN200010070,8,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SFN,NYN,0,30,0,3,0
rodrf002,NYN200010070,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SFN,NYN,0,30,0,3,0
murrc001,NYN200010070,8,8,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,SFN,NYN,0,30,0,3,0
ortir001,NYN200010070,9,1,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,SFN,NYN,0,30,0,3,0
embra001,NYN200010070,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SFN,NYN,0,30,0,3,0
henrd002,NYN200010070,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SFN,NYN,0,30,0,3,0
martr003,NYN200010070,9,6,3,3,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,SFN,NYN,0,30,0,3,0
peret004,NYN200010080,1,9,4,4,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,NYN,SFN,1,30,0,3,0
alfoe001,NYN200010080,2,4,4,4,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,NYN,SFN,1,30,0,3,0
piazm001,NYN200010080,3,2,4,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYN,SFN,1,30,0,3,0
ventr001,NYN200010080,4,5,4,2,1,2,1,2,0,0,0,0,1,0,0,0,1,0,0,0,0,NYN,SFN,1,30,0,3,0
agbab001,NYN200010080,5,7,4,4,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,NYN,SFN,1,30,0,3,0
mcewj001,NYN200010080,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYN,SFN,1,30,0,3,0
paytj001,NYN200010080,6,8,4,4,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,NYN,SFN,1,30,0,3,0
zeilt001,NYN200010080,7,3,4,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NYN,SFN,1,30,0,3,0
bordm001,NYN200010080,8,6,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NYN,SFN,1,30,0,3,0
joneb003,NYN200010080,9,1,4,4,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,NYN,SFN,1,30,0,3,0
benam001,NYN200010080,1,8,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,SFN,NYN,0,30,0,3,0
muelb001,NYN200010080,2,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SFN,NYN,0,30,0,3,0
bondb001,NYN200010080,3,7,4,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,SFN,NYN,0,30,0,3,0
kentj001,NYN200010080,4,4,3,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,SFN,NYN,0,30,0,3,0
burke001,NYN200010080,5,9,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SFN,NYN,0,30,0,3,0
snowj001,NYN200010080,6,3,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SFN,NYN,0,30,0,3,0
aurir001,NYN200010080,7,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SFN,NYN,0,30,0,3,0
mirad001,NYN200010080,8,2,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,SFN,NYN,0,30,0,3,0
cresf001,NYN200010080,8,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SFN,NYN,0,30,0,3,0
estab001,NYN200010080,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SFN,NYN,0,30,0,3,0
gardm001,NYN200010080,9,1,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,SFN,NYN,0,30,0,3,0
henrd002,NYN200010080,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SFN,NYN,0,30,0,3,0
embra001,NYN200010080,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SFN,NYN,0,30,0,3,0
davir002,NYN200010080,9,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SFN,NYN,0,30,0,3,0
deltm001,NYN200010080,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SFN,NYN,0,30,0,3,0
vinaf001,SLN200010030,1,4,5,5,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,SLN,ATL,1,30,0,3,0
drewj001,SLN200010030,2,9,5,4,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,SLN,ATL,1,30,0,3,0
edmoj001,SLN200010030,3,8,5,5,3,0,2,2,0,2,0,0,1,0,1,0,0,0,0,0,0,SLN,ATL,1,30,0,3,0
clarw001,SLN200010030,4,3,5,5,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,SLN,ATL,1,30,0,3,0
lankr001,SLN200010030,5,7,4,3,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,SLN,ATL,1,30,0,3,0
reamb001,SLN200010030,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SLN,ATL,1,30,0,3,0
mcgwm001,SLN200010030,5,11,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,SLN,ATL,1,30,0,3,0
kiled001,SLN200010030,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SLN,ATL,1,30,0,3,0
vered001,SLN200010030,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SLN,ATL,1,30,0,3,0
rente001,SLN200010030,6,6,5,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,SLN,ATL,1,30,0,3,0
hernc001,SLN200010030,7,2,4,3,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,SLN,ATL,1,30,0,3,0
polap001,SLN200010030,8,5,4,4,3,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,SLN,ATL,1,30,0,3,0
ankir001,SLN200010030,9,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SLN,ATL,1,30,0,3,0
jamem001,SLN200010030,9,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,SLN,ATL,1,30,0,3,0
dunss001,SLN200010030,9,11,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,SLN,ATL,1,30,0,3,0
timlm001,SLN200010030,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SLN,ATL,1,30,0,3,0
paquc001,SLN200010030,9,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SLN,ATL,1,30,0,3,0
furcr001,SLN200010030,1,4,5,5,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,ATL,SLN,0,30,0,3,0
jonea002,SLN200010030,2,8,5,2,0,3,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,ATL,SLN,0,30,0,3,0
jonec004,SLN200010030,3,5,5,4,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,ATL,SLN,0,30,0,3,0
galaa001,SLN200010030,4,3,5,2,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,ATL,SLN,0,30,0,3,0
jordb001,SLN200010030,5,9,5,4,3,1,1,2,0,2,1,0,0,0,0,0,0,0,0,0,0,ATL,SLN,0,30,0,3,0
sandr002,SLN200010030,6,7,5,4,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,ATL,SLN,0,30,0,3,0
weisw001,SLN200010030,7,6,3,3,2,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,ATL,SLN,0,30,0,3,0
bonib001,SLN200010030,7,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ATL,SLN,0,30,0,3,0
lockk001,SLN200010030,7,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ATL,SLN,0,30,0,3,0
bakop001,SLN200010030,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ATL,SLN,0,30,0,3,0
lopej001,SLN200010030,8,11,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ATL,SLN,0,30,0,3,0
maddg002,SLN200010030,9,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ATL,SLN,0,30,0,3,0
remlm001,SLN200010030,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ATL,SLN,0,30,0,3,0
joynw001,SLN200010030,9,11,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,ATL,SLN,0,30,0,3,0
mulht001,SLN200010030,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ATL,SLN,0,30,0,3,0
surhb001,SLN200010030,9,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ATL,SLN,0,30,0,3,0
rockj001,SLN200010030,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ATL,SLN,0,30,0,3,0
ligtk001,SLN200010030,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ATL,SLN,0,30,0,3,0
vinaf001,SLN200010050,1,4,5,4,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,SLN,ATL,1,30,0,3,0
rente001,SLN200010050,2,6,5,4,1,1,3,0,1,1,0,0,0,0,1,0,0,0,0,0,0,SLN,ATL,1,30,0,3,0
edmoj001,SLN200010050,3,8,5,4,3,1,2,2,0,0,3,0,0,0,0,0,0,0,0,0,0,SLN,ATL,1,30,0,3,0
clarw001,SLN200010050,4,3,4,2,1,1,2,3,0,0,0,0,1,1,0,0,1,0,0,0,0,SLN,ATL,1,30,0,3,0
davie001,SLN200010050,5,9,4,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,SLN,ATL,1,30,0,3,0
lankr001,SLN200010050,6,7,4,4,1,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,SLN,ATL,1,30,0,3,0
hernc001,SLN200010050,7,2,4,4,1,0,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,SLN,ATL,1,30,0,3,0
polap001,SLN200010050,8,5,4,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,SLN,ATL,1,30,0,3,0
kiled001,SLN200010050,9,1,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,SLN,ATL,1,30,0,3,0
chrij002,SLN200010050,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SLN,ATL,1,30,0,3,0
timlm001,SLN200010050,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SLN,ATL,1,30,0,3,0
mcgwm001,SLN200010050,9,11,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,SLN,ATL,1,30,0,3,0
morrm001,SLN200010050,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SLN,ATL,1,30,0,3,0
furcr001,SLN200010050,1,6,5,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ATL,SLN,0,30,0,3,0
jonea002,SLN200010050,2,8,4,3,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,ATL,SLN,0,30,0,3,0
jonec004,SLN200010050,3,5,4,4,2,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,ATL,SLN,0,30,0,3,0
galaa001,SLN200010050,4,3,4,4,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,ATL,SLN,0,30,0,3,0
jordb001,SLN200010050,5,9,4,4,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,ATL,SLN,0,30,0,3,0
lopej001,SLN200010050,6,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ATL,SLN,0,30,0,3,0
sandr002,SLN200010050,7,7,4,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,ATL,SLN,0,30,0,3,0
lockk001,SLN200010050,8,4,4,4,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,ATL,SLN,0,30,0,3,0
glavt001,SLN200010050,9,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ATL,SLN,0,30,0,3,0
ashba002,SLN200010050,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ATL,SLN,0,30,0,3,0
surhb001,SLN200010050,9,11,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,ATL,SLN,0,30,0,3,0
maddg002,SLN200010050,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ATL,SLN,0,30,0,3,0
burkj001,SLN200010050,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ATL,SLN,0,30,0,3,0
mulht001,SLN200010050,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ATL,SLN,0,30,0,3,0
joynw001,SLN200010050,9,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ATL,SLN,0,30,0,3,0
ligtk001,SLN200010050,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ATL,SLN,0,30,0,3,0
remlm001,SLN200010050,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ATL,SLN,0,30,0,3,0
bonib001,SLN200010050,9,11,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ATL,SLN,0,30,0,3,0
furcr001,ATL200010070,1,6,4,2,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,ATL,SLN,1,30,0,3,0
jonea002,ATL200010070,2,8,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,ATL,SLN,1,30,0,3,0
jonec004,ATL200010070,3,5,4,4,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,ATL,SLN,1,30,0,3,0
