id,team,IPouts,H,BB,R,ER,PC,K,HR,1B,2B,3B,WP,HBP,PA,AB,BK,SH,SF,IBB
dickj001,0,16,9,0,4,4,81,5,3,6,0,0,0,0,24,24,0,0,0,0
levia001,0,5,1,1,0,0,32,1,0,1,0,0,0,0,7,6,0,0,0,0
merck001,0,3,0,0,0,0,9,0,0,0,0,0,0,0,3,3,0,0,0,0
hases001,0,2,7,1,6,6,49,0,1,5,1,0,1,0,10,9,0,0,0,0
potel001,0,1,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0
castf001,1,10,8,2,5,5,94,3,1,6,1,0,0,1,20,17,0,0,0,0
balej001,1,5,3,1,5,4,39,3,0,1,1,1,0,1,11,9,0,0,0,0
painl001,1,6,2,2,1,1,41,2,1,0,1,0,0,0,10,8,0,0,0,0
frasj001,1,4,6,1,5,5,36,1,0,4,2,0,2,1,11,9,0,0,0,0
borbp001,1,2,0,1,0,0,17,0,0,0,0,0,0,0,3,1,0,0,1,0
