date,ord,pos,PA,AB,H,BB,R,RBI,K,1B,2B,3B,HR,HBP,SB,CS,IBB,GIDP,INT,SH,SF,team,opp,loc,age,rookie,regpost
195406170,3,7,5,3,2,2,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,MLN,BRO,0,30,0,1,0
195406180,3,7,4,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,MLN,PIT,0,30,0,1,0
195406190,3,7,5,4,1,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,MLN,PIT,0,30,0,1,0
195406201,3,7,4,4,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,MLN,PIT,0,30,0,1,0
195406202,3,7,5,5,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,MLN,PIT,0,30,0,1,0
195406220,3,7,4,3,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,MLN,NY1,0,30,0,1,0
195406230,3,7,5,5,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,MLN,NY1,0,30,0,1,0
195406240,3,7,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MLN,NY1,0,30,0,1,0
195406250,3,7,5,5,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,MLN,PHI,0,30,0,1,0
195406260,3,7,4,4,2,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,MLN,PHI,0,30,0,1,0
195406271,3,7,4,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,MLN,PHI,0,30,0,1,0
195406272,3,7,4,4,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,MLN,PHI,0,30,0,1,0
195406290,3,7,5,5,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,MLN,CHN,1,30,0,1,0
195406300,3,7,5,5,2,0,2,1,1,1,1,0,0,0,0,0,0,1,0,0,0,MLN,CHN,1,30,0,1,0
195407010,3,7,4,3,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,MLN,SLN,1,30,0,1,0
195407021,3,7,5,4,3,1,1,2,1,2,0,0,1,0,0,0,0,0,0,0,0,MLN,CIN,1,30,0,1,0
195407022,3,7,3,3,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,MLN,CIN,1,30,0,1,0
195407030,3,7,4,4,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,MLN,CIN,1,30,0,1,0
195407040,3,7,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,MLN,CIN,1,30,0,1,0
195407051,3,7,5,5,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,MLN,SLN,0,30,0,1,0
195407052,3,7,5,5,2,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,MLN,SLN,0,30,0,1,0
195407060,3,7,6,5,1,1,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,MLN,CHN,0,30,0,1,0
195407070,3,7,4,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,MLN,CHN,0,30,0,1,0
195407080,3,7,7,7,2,0,1,4,1,1,0,0,1,0,0,0,0,0,0,0,0,MLN,CHN,0,30,0,1,0
195407090,3,7,4,4,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,MLN,CIN,0,30,0,1,0
195407100,3,7,4,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,MLN,CIN,0,30,0,1,0
195407111,3,7,5,4,2,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,MLN,CIN,0,30,0,1,0
195407112,3,7,5,4,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,MLN,CIN,0,30,0,1,0
195407140,3,7,6,4,2,1,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,MLN,BRO,1,30,0,1,0
195407151,4,7,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,MLN,BRO,1,30,0,1,0
195407152,4,7,5,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,MLN,BRO,1,30,0,1,0
195407160,4,7,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MLN,BRO,1,30,0,1,0
195407170,4,7,6,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,MLN,BRO,1,30,0,1,0
195407181,4,9,4,4,1,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,MLN,PIT,1,30,0,1,0
195407182,4,7,5,5,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,MLN,PIT,1,30,0,1,0
195407190,4,9,4,3,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,MLN,PIT,1,30,0,1,0
195407210,4,9,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,MLN,PHI,1,30,0,1,0
