version,2
info,visteam,NYN
info,hometeam,SDN
info,site,SAN01
info,date,2000/08/21
info,number,0
info,starttime,7:05PM
info,daynight,night
info,usedh,false
info,umphome,davig901
info,ump1b,guccc901
info,ump2b,emmep901
info,ump3b,packs901
info,pitches,pitches
info,temp,73
info,winddir,rtol
info,windspeed,4
info,fieldcond,unknown
info,precip,unknown
info,sky,sunny
info,timeofgame,205
info,attendance,21234
info,wp,hofft001
info,lp,cookd001
info,save,
start,harrl001,"Lenny Harris",0,1,3
start,belld001,"Derek Bell",0,2,9
start,alfoe001,"Edgardo Alfonzo",0,3,4
start,piazm001,"Mike Piazza",0,4,2
start,ventr001,"Robin Ventura",0,5,5
start,agbab001,"Benny Agbayani",0,6,7
play,3,1,river002,21,BFBX,T/89.1-H
play,3,1,darrm001,00,X,S8.3-H
play,3,1,gonzw001,21,FBBX,3(B)3(1)/LDP
play,4,0,alfoe001,32,CBFBBX,63/G
play,4,0,piazm001,00,X,S7
play,4,0,ventr001,00,X,S9/9S.1-2
play,4,0,agbab001,22,CBFFBX,S8.2-3;1-2
play,4,0,paytj001,20,BBX,9/FDP.3XH(932)
play,4,1,willw001,12,FBCS,K
play,4,1,owene001,22,BFCBS,K
play,4,1,relad001,22,CFBBX,8/F8
play,5,0,bordm001,22,BFSBX,2/FL
play,5,0,ruscg001,01,SX,63/G
play,5,0,harrl001,12,CFFFBS,K
play,5,1,klesr001,00,X,S9
play,5,1,nevip001,01,FX,46(1)3/GDP
play,5,1,boonb002,11,CBX,9/F9
play,6,0,belld001,22,CFBBFS,K
play,6,0,alfoe001,12,CFBX,S/89
play,6,0,piazm001,01,FX,8/F8
play,6,0,ventr001,00,X,S9/9S.1-2
play,6,0,agbab001,00,X,HR/78.2-H;1-H
play,6,0,paytj001,01,CX,43/G
play,6,1,river002,12,CBSS,K
play,6,1,darrm001,02,FFS,K
play,6,1,gonzw001,30,BBBB,W
play,6,1,willw001,32,BBBCFX,4/P4
play,7,0,bordm001,10,BX,E6/TH1
play,7,0,ruscg001,00,,NP
sub,tramb001,"Bubba Trammell",0,9,11
play,7,0,tramb001,31,FBBBX,9/F9
play,7,0,harrl001,00,X,S9.1-3
play,7,0,belld001,10,BX,FC1.3-H(UR);1-2;B-1
play,7,0,alfoe001,10,BX,8/F8
play,7,0,piazm001,01,FX,9/F9
play,7,1,owene001,00,,NP
sub,whitr002,"Rick White",0,9,1
play,7,1,owene001,32,BBCBCX,3/G
play,7,1,relad001,12,CBSFX,E8/F.B-2
play,7,1,klesr001,22,FBFBX,7/F7
play,7,1,nevip001,00,X,3/FL
play,8,0,ventr001,22,BFBFC,K/C
play,8,0,agbab001,12,BCFX,7/FL
play,8,0,paytj001,00,X,9/F9
play,8,1,boonb002,00,,NP
sub,mcewj001,"Joe McEwing",0,6,7
play,8,1,boonb002,32,BFFBFFFBS,K
play,8,1,river002,11,BSX,2/FL
play,8,1,darrm001,01,FX,7/F7S
play,9,0,bordm001,00,X,53/G
play,9,0,whitr002,00,,NP
sub,hamid001,"Darryl Hamilton",0,9,11
play,9,0,hamid001,30,BBBB,W
play,9,0,harrl001,10,BX,9/F9
play,9,0,belld001,32,SBFBBX,2/BG
play,9,1,gonzw001,00,,NP
sub,cookd001,"Dennis Cook",0,9,1
play,9,1,gonzw001,10,BX,8/F8D
play,9,1,willw001,00,,NP
sub,vitij001,"Joe Vitiello",1,9,11
play,9,1,vitij001,31,BBBCB,W
play,9,1,owene001,00,,NP
sub,jackd003,"Damian Jackson",1,9,12
play,9,1,owene001,12,CBFS,K
play,9,1,relad001,21,BBSC,SB2
play,9,1,relad001,32,BBSCBFB,W
play,9,1,klesr001,22,CCBBS,K
play,10,0,alfoe001,00,,NP
sub,hofft001,"Trevor Hoffman",1,9,1
play,10,0,alfoe001,32,BFBFFBX,8/F8
play,10,0,piazm001,31,BBBCX,S8
play,10,0,ventr001,11,BCX,7/F7
play,10,0,mcewj001,00,X,7/F7S
play,10,1,nevip001,31,BSBBB,W
play,10,1,boonb002,12,CBFFS,K
play,10,1,river002,21,CBBX,54(1)/FO
play,10,1,darrm001,00,X,S9.1-3
play,10,1,gonzw001,01,SB,DI.1-2
play,10,1,gonzw001,31,SBBBB,W
play,10,1,hofft001,00,,NP
sub,magad001,"Dave Magadan",1,9,11
play,10,1,magad001,31,BBCBB,W.3-H;2-3;1-2
data,er,ruscg001,3
data,er,whitr002,0
data,er,cookd001,1
data,er,willw001,3
data,er,hofft001,0
