version,2
info,visteam,BOS
info,hometeam,MIN
info,site,MIN03
info,date,2000/07/03
info,number,0
info,starttime,7:05PM
info,daynight,night
info,usedh,true
info,umphome,carlm901
info,ump1b,demud901
info,ump2b,eddid901
info,ump3b,cookr901
info,pitches,pitches
info,temp,72
info,winddir,unknown
info,windspeed,0
info,fieldcond,dry
info,precip,none
info,sky,dome
info,timeofgame,224
info,attendance,13128
info,wp,pichh001
info,lp,lincm001
info,save,lowed001
start,offej001,"Jose Offerman",0,1,4
start,fryej001,"Jeff Frye",0,2,9
start,burkm001,"Morgan Burkhart",0,3,10
start,daubb001,"Brian Daubach",0,4,3
start,everc001,"Carl Everett",0,5,8
start,oleat001,"Troy O'Leary",0,6,7
start,sprae001,"Ed Sprague",0,7,5
start,varij001,"Jason Varitek",0,8,2
play,4,1,koskc001,00,X,S9.3-H;1-2
play,4,1,hockd001,11,BFX,23/G.2-3;1-2
play,4,1,ortid001,12,BCFX,7/SF.3-H
play,4,1,moelc001,22,CFBBFFFS,K
play,5,0,alexm001,22,BBCCFS,K23
play,5,0,offej001,00,X,9/F9D
play,5,0,fryej001,21,CBBX,S9
play,5,0,burkm001,01,FB,WP.1-2
play,5,0,burkm001,32,FBBSFBB,W
play,5,0,daubb001,02,CFB,WP.2-3;1-2
play,5,0,daubb001,12,CFBS,K
play,5,1,jonej003,32,SFBBBX,43/G
play,5,1,canij001,12,SFBX,63/G
play,5,1,guzmc001,31,BBFBB,W
play,5,1,lawtm002,01,CH,HP.1-2
play,5,1,coomr001,02,CFX,31/G
play,6,0,everc001,02,CFS,K
play,6,0,oleat001,00,X,7/F7
play,6,0,sprae001,02,FCS,K
play,6,1,koskc001,00,,NP
sub,cormr001,"Rheal Cormier",0,0,1
play,6,1,koskc001,10,BX,S7
play,6,1,hockd001,32,BFFBBX,63/G.1-2
play,6,1,ortid001,00,,NP
sub,huskb001,"Butch Huskey",1,7,11
play,6,1,huskb001,10,BX,13/G.2-3
play,6,1,moelc001,32,BFCBFBC,K/C
play,7,0,varij001,31,BBFBB,W
play,7,0,alexm001,00,,NP
sub,millt001,"Travis Miller",1,0,1
play,7,0,alexm001,11,CBX,T/78.1-H
play,7,0,offej001,32,BCCFBBX,53/G
play,7,0,fryej001,02,CCS,K
play,7,0,burkm001,32,BBCCBFS,K
play,7,1,jonej003,02,SCS,K
play,7,1,canij001,00,X,5/P5
play,7,1,guzmc001,01,CX,8/F8D
play,8,0,daubb001,00,,NP
sub,maxwj001,"Jason Maxwell",1,1,4
play,8,0,daubb001,02,SSX,S9/9S
play,8,0,everc001,22,CBBCX,3/P3
play,8,0,oleat001,32,FBFBBX,8/F8D
play,8,0,sprae001,20,BBX,8/F8S
play,8,1,lawtm002,22,SCBBX,43/G
play,8,1,coomr001,21,SBBX,43/G
play,8,1,koskc001,32,CBBSBX,D9
play,8,1,hockd001,11,BSX,S9.2-H
play,8,1,huskb001,00,,NP
sub,lowed001,"Derek Lowe",0,0,1
play,8,1,huskb001,00,,NP
sub,cummm001,"Midre Cummings",1,7,11
play,8,1,cummm001,01,CX,43/G
play,9,0,varij001,00,,NP
sub,santj003,"Johan Santana",1,0,1
play,9,0,varij001,22,BFFBS,K
play,9,0,alexm001,32,BBFFBS,K
play,9,0,offej001,10,BX,S7/7S
play,9,0,fryej001,12,CCBS,K
play,9,1,moelc001,00,,NP
sub,jensm001,"Marcus Jensen",1,8,11
play,9,1,jensm001,11,CBX,43/G
play,9,1,jonej003,01,SX,3/G
play,9,1,maxwj001,22,SBCBC,K/C
data,er,martr002,6
data,er,pichh001,1
data,er,cormr001,1
data,er,lowed001,0
data,er,lincm001,6
data,er,ryanj001,4
data,er,carrh001,1
data,er,millt001,0
data,er,santj003,0
