id,team,IPouts,H,BB,R,ER,PC,K,HR,1B,2B,3B,WP,HBP,PA,AB,BK,SH,SF,IBB
sirom001,0,21,8,1,1,0,86,2,0,7,1,0,0,0,28,27,0,0,0,0
lowes001,0,2,1,0,0,0,11,1,0,1,0,0,0,0,3,3,0,0,0,0
wunsk001,0,1,0,0,0,0,4,0,0,0,0,0,0,0,1,1,0,0,0,0
simab001,0,3,4,1,2,2,21,0,0,3,1,0,0,0,8,6,0,1,0,1
eyres001,0,7,2,2,1,1,35,1,0,2,0,0,0,0,10,8,0,0,0,0
nomoh001,1,23,8,3,2,2,120,9,1,6,1,0,1,0,33,30,0,0,0,0
jonet003,1,4,1,1,1,1,19,1,0,1,0,0,0,0,5,3,0,1,0,0
pattd001,1,6,1,0,0,0,27,3,0,1,0,0,0,0,7,7,0,0,0,0
poolj001,1,2,0,0,0,0,6,0,0,0,0,0,0,0,2,2,0,0,0,0
andem002,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
