version,2
info,visteam,BAL
info,hometeam,TBA
info,site,STP01
info,date,2000/08/04
info,number,0
info,starttime,7:15PM
info,daynight,night
info,usedh,true
info,umphome,demud901
info,ump1b,eddid901
info,ump2b,relic901
info,ump3b,carlm901
info,pitches,pitches
info,temp,72
info,winddir,ltor
info,windspeed,0
info,fieldcond,dry
info,precip,none
info,sky,dome
info,timeofgame,316
info,attendance,15590
info,wp,johnj007
info,lp,yan-e001
info,save,
start,andeb001,"Brady Anderson",0,1,7
start,moram002,"Melvin Mora",0,2,6
start,deshd001,"Delino DeShields",0,3,4
start,bellj002,"Albert Belle",0,4,9
start,conij001,"Jeff Conine",0,5,10
start,richc001,"Chris Richard",0,6,3
start,fordb001,"Brook Fordyce",0,7,2
start,coffi001,"Ivanon Coffie",0,8,5
play,3,1,mcgrf001,00,X,7/F7.2-3
play,3,1,cansj001,01,SX,HR/8.3-H;1-H
play,3,1,cox-s001,00,X,8/F8
play,3,1,flahj001,02,FFX,2/FL
play,4,0,deshd001,32,BCBBFFX,13/G
play,4,0,bellj002,10,BX,S8
play,4,0,conij001,12,CBFX,46(1)3/GDP
play,4,1,huffa001,12,FBFX,5/P5
play,4,1,martf001,22,BFBCL,K/BF
play,4,1,willg001,01,SX,S8
play,4,1,johnr006,22,BFCBX,63/G
play,5,0,richc001,12,SBSX,D9
play,5,0,fordb001,11,SBX,63/G.2-3
play,5,0,coffi001,12,SSBX,D9/9D.3-H
play,5,0,matol001,00,,NP
sub,wilsp001,"Paul Wilson",1,0,1
play,5,0,matol001,12,BFSB,WP.2-3
play,5,0,matol001,32,BFSBFFBX,1/L1
play,5,0,andeb001,32,CBSBBB,W
play,5,0,moram002,11,BSX,63/G
play,5,1,vaugg001,00,X,D7
play,5,1,mcgrf001,32,BCBFBX,7/F7
play,5,1,cansj001,01,FX,8/F8S
play,5,1,cox-s001,00,X,7/F7
play,6,0,deshd001,32,BCBSBS,K
play,6,0,bellj002,32,FFFBBBS,K
play,6,0,conij001,12,CBSS,K
play,6,1,flahj001,02,FCX,S8
play,6,1,huffa001,32,BSCBBX,7/F7
play,6,1,martf001,02,SSX,46(1)/FO
play,6,1,willg001,00,X,8/F8D
play,7,0,richc001,22,BFBFS,K
play,7,0,fordb001,32,BSBSBB,W
play,7,0,coffi001,21,FBBX,4(B)3(1)/LDP
play,7,1,johnr006,00,,NP
sub,milla001,"Alan Mills",0,0,1
play,7,1,johnr006,11,BCX,S9
play,7,1,vaugg001,32,FBFBFBB,W.1-2
play,7,1,mcgrf001,20,BBX,8/F8.2-3
play,7,1,cansj001,10,BX,2/FL
play,7,1,cox-s001,32,CBBCBFFB,W.1-2
play,7,1,flahj001,02,CFFX,8/F8
play,8,0,matol001,02,CFX,53/G
play,8,0,andeb001,01,CX,43/G
play,8,0,moram002,11,BCX,53/G
play,8,1,huffa001,01,CX,S8
play,8,1,martf001,21,BCBX,8/F8
play,8,1,willg001,02,CCX,4/P4
play,8,1,johnr006,31,CBBBB,W.1-2
play,8,1,vaugg001,12,SSBX,HR/7.2-H;1-H
play,8,1,mcgrf001,00,,NP
sub,tromm001,"Mike Trombley",0,0,1
play,8,1,mcgrf001,31,SBBBB,W
play,8,1,cansj001,31,BCBBB,W.1-2
play,8,1,cox-s001,00,,NP
sub,groob001,"Buddy Groom",0,0,1
play,8,1,cox-s001,00,,NP
sub,guilj001,"Jose Guillen",1,6,11
play,8,1,guilj001,00,X,T9.2-H;1-H
play,8,1,flahj001,21,BBFX,7/F7
play,9,0,deshd001,00,,NP
sub,guilj001,"Jose Guillen",1,6,9
play,9,0,deshd001,00,,NP
sub,hernr001,"Roberto Hernandez",1,0,1
play,9,0,deshd001,00,X,7/F7
play,9,0,bellj002,22,FFBBX,8/F8D
play,9,0,conij001,21,BFBX,63/G
play,9,1,huffa001,00,,NP
sub,cairm001,"Miguel Cairo",1,8,11
play,9,1,cairm001,11,BCX,63/G
play,9,1,martf001,02,FLFC,K/C
play,9,1,willg001,12,SBFS,K
play,10,0,richc001,00,,NP
sub,cairm001,"Miguel Cairo",1,8,4
play,10,0,richc001,00,,NP
sub,johnr006,"Russ Johnson",1,2,5
play,10,0,richc001,11,CBX,13/G
play,10,0,fordb001,00,X,S
play,10,0,coffi001,00,X,64(1)/FO
play,10,0,matol001,11,BFX,1/L1
play,10,1,johnr006,00,,NP
sub,kohlr001,"Ryan Kohlmeier",0,0,1
play,10,1,johnr006,32,CBBBSS,K
play,10,1,vaugg001,22,BFBFS,K
play,10,1,mcgrf001,02,CCFFX,13/G
play,11,0,andeb001,00,,NP
sub,creed001,"Doug Creek",1,0,1
play,11,0,andeb001,22,BFCBC,K/C
play,11,0,moram002,22,BFBFFFX,5/L5
play,11,0,deshd001,32,BCBBFB,W
play,11,0,bellj002,00,,NP
sub,taylb001,"Billy Taylor",1,0,1
play,11,0,bellj002,11,BSX,7/F7
play,11,1,cansj001,32,BCFBBB,W
play,11,1,guilj001,00,,NP
sub,tynej001,"Jason Tyner",1,5,12
play,11,1,guilj001,00,X,36(1)/FO
play,11,1,flahj001,00,X,9/F9
play,11,1,cairm001,32,FBBBFX,9/F9
play,12,0,conij001,32,BCBBCFS,K
play,12,0,richc001,00,X,D/78
play,12,0,fordb001,11,BCH,HP
play,12,0,coffi001,00,X,36(1)/FO.2-3
play,12,0,matol001,12,BSLC,K/C
play,12,1,martf001,00,,NP
sub,johnj007,"Jason Johnson",0,0,1
play,12,1,martf001,21,BCBX,43/G
play,12,1,willg001,32,BCBBCX,63/G
play,12,1,johnr006,12,CBCS,K
play,13,0,andeb001,00,,NP
sub,yan-e001,"Esteban Yan",1,0,1
play,13,0,andeb001,12,CBSS,K
play,13,0,moram002,32,BSSBBS,K
play,13,0,deshd001,32,BBFSBX,53/G
play,13,1,vaugg001,12,CSBX,63/G
play,13,1,mcgrf001,12,FSBS,K
play,13,1,tynej001,12,CBSC,K/C
play,14,0,bellj002,32,SCBBBB,W
play,14,0,conij001,12,BCLFC,K/C
play,14,0,richc001,12,SFBFX,46(1)/FO
play,14,0,fordb001,00,S,SB2
play,14,0,fordb001,02,SFS,K
play,14,1,guilj001,12,FFBX,2/FL
play,14,1,flahj001,00,X,8/F8
play,14,1,cairm001,01,CX,63/G
play,15,0,coffi001,22,BBCFS,K
play,15,0,matol001,21,CBBX,8/F8
play,15,0,andeb001,31,BBSBB,W
play,15,0,moram002,12,CCBX,S9.1-3
play,15,0,deshd001,20,BBX,S9.3-H;1-3
play,15,0,bellj002,00,S,DI.1-2
play,15,0,bellj002,22,SBBCX,63/G
play,15,1,martf001,00,,NP
sub,hubbt001,"Trenidad Hubbard",0,4,9
play,15,1,martf001,00,,NP
sub,guilo001,"Ozzie Guillen",1,9,11
play,15,1,guilo001,11,CBX,6/P6
play,15,1,willg001,10,BX,63/G
play,15,1,johnr006,02,CCFX,63/G
data,er,mercj001,4
data,er,milla001,3
data,er,tromm001,2
data,er,groob001,0
data,er,kohlr001,0
data,er,johnj007,0
data,er,harpt002,7
data,er,duvam001,2
data,er,wilsp001,0
data,er,hernr001,0
data,er,creed001,0
data,er,taylb001,0
data,er,yan-e001,1
