version,2
info,visteam,ANA
info,hometeam,TBA
info,site,STP01
info,date,2000/04/21
info,number,0
info,starttime,7:15PM
info,daynight,night
info,usedh,true
info,umphome,riekr901
info,ump1b,emmep901
info,ump2b,davig901
info,ump3b,joycj901
info,pitches,pitches
info,temp,72
info,winddir,unknown
info,windspeed,0
info,fieldcond,dry
info,precip,none
info,sky,dome
info,timeofgame,215
info,attendance,22221
info,wp,petkm001
info,lp,hernr001
info,save,perct001
start,erstd001,"Darin Erstad",0,1,7
start,kenna001,"Adam Kennedy",0,2,4
start,vaugm001,"Mo Vaughn",0,3,3
start,salmt001,"Tim Salmon",0,4,9
start,andeg001,"Garret Anderson",0,5,8
start,glaut001,"Troy Glaus",0,6,5
start,spies001,"Scott Spiezio",0,7,10
start,molib001,"Ben Molina",0,8,2
sub,morrj004,"Jim Morris",1,0,1
play,6,0,erstd001,32,BBBCFX,53/G
play,6,0,kenna001,30,BBBB,W
play,6,0,vaugm001,02,CFB,WP.1-2
play,6,0,vaugm001,22,CFBBS,K
play,6,0,salmt001,00,,NP
sub,lopea002,"Albie Lopez",1,0,1
play,6,0,salmt001,01,CX,53/G
play,6,1,cairm001,01,CX,S7
play,6,1,vaugg001,22,BBFFX,8/F8
play,6,1,cansj001,10,BX,7/F7
play,6,1,mcgrf001,31,BFBBB,W.1-2
play,6,1,castv001,00,,NP
sub,petkm001,"Mark Petkovsek",0,0,1
play,6,1,castv001,01,FX,64(1)/FO.2-3
play,7,0,andeg001,12,SSBX,9/F9
play,7,0,glaut001,21,FBBX,D9
play,7,0,spies001,32,FSFFBFBFBB,W
play,7,0,molib001,00,X,64(1)3/GDP
play,7,1,flahj001,01,FX,6/P6
play,7,1,tramb001,32,CBBBCX,53/G
play,7,1,stock001,21,BBFX,53/G
play,8,0,gil-b001,00,,NP
sub,martd002,"Dave Martinez",1,8,9
play,8,0,gil-b001,00,,NP
sub,mecij001,"Jim Mecir",1,0,1
play,8,0,gil-b001,11,BCX,6/L6
play,8,0,erstd001,32,CBBSBX,63/G
