id,team,IPouts,H,BB,R,ER,PC,K,HR,1B,2B,3B,WP,HBP,PA,AB,BK,SH,SF,IBB
arrob001,0,9,5,1,3,3,51,3,1,4,0,0,0,1,15,13,0,0,0,0
manzj001,0,8,4,0,3,3,41,3,0,3,1,0,0,0,11,11,0,0,0,0
wilkm001,0,1,1,0,0,0,4,0,0,0,1,0,0,0,2,2,0,0,0,0
loisr001,0,3,0,3,1,1,33,1,0,0,0,0,0,1,7,2,0,0,1,0
saues001,0,3,0,0,0,0,17,1,0,0,0,0,0,0,3,3,1,0,0,0
skrmm001,0,1,1,1,1,1,17,0,0,1,0,0,0,0,3,2,0,0,0,0
oconb001,0,1,0,1,0,0,8,0,0,0,0,0,0,0,2,0,0,0,1,0
holtc001,1,13,9,3,6,6,82,2,2,7,0,0,0,0,23,20,0,0,0,0
greej001,1,3,2,2,1,1,29,1,0,2,0,0,0,0,6,3,0,1,0,0
lines001,1,2,0,1,0,0,14,0,0,0,0,0,0,0,3,2,0,0,0,0
cabrj001,1,6,1,0,0,0,17,2,0,1,0,0,0,0,6,6,0,0,0,0
franw001,1,1,0,1,0,0,8,1,0,0,0,0,0,0,2,1,0,0,0,0
slusj001,1,2,0,0,0,0,9,2,0,0,0,0,0,0,2,2,0,0,0,0
