id,team,IPouts,H,BB,R,ER,PC,K,HR,1B,2B,3B,WP,HBP,PA,AB,BK,SH,SF,IBB
jonem002,0,7,5,3,4,4,69,1,1,3,1,0,0,0,15,12,0,0,0,0
joned001,0,8,4,0,3,3,49,1,1,2,1,0,0,0,11,11,0,0,0,0
magnm001,0,4,1,0,1,1,22,0,1,0,0,0,0,0,5,4,0,1,0,0
tam-j001,0,5,0,0,0,0,15,0,0,0,0,0,0,0,5,5,0,0,0,0
isrij001,0,3,2,0,2,2,22,0,1,1,0,0,1,0,5,5,0,0,0,0
beltr001,1,4,6,3,6,6,45,1,2,2,2,0,0,0,13,10,0,0,0,0
tavaj001,1,14,2,0,0,0,59,3,0,2,0,0,0,0,15,15,0,0,0,0
whitg001,1,2,3,0,3,3,21,0,0,0,3,0,0,0,5,5,0,0,0,0
dejem001,1,4,2,4,2,1,36,0,0,1,1,0,0,0,10,6,0,0,0,2
myerm001,1,3,0,0,0,0,13,1,0,0,0,0,0,0,3,3,0,0,0,0
