version,2
info,visteam,SFN
info,hometeam,MIL
info,site,MIL05
info,date,2000/05/21
info,number,0
info,starttime,1:05PM
info,daynight,day
info,usedh,false
info,umphome,nelsj901
info,ump1b,cousd901
info,ump2b,marqa901
info,ump3b,vanvm901
info,pitches,pitches
info,temp,64
info,winddir,fromrf
info,windspeed,10
info,fieldcond,unknown
info,precip,unknown
info,sky,cloudy
info,timeofgame,244
info,attendance,20571
info,wp,ortir001
info,lp,ramih001
info,save,
start,murrc001,"Calvin Murray",0,1,8
start,muelb001,"Bill Mueller",0,2,5
start,kentj001,"Jeff Kent",0,3,4
start,snowj001,"J.T. Snow",0,4,3
start,lowet001,"Terrell Lowery",0,5,7
start,riosa001,"Armando Rios",0,6,9
play,8,0,riosa001,11,BFX,7/F7
play,8,0,estab001,12,FCBFX,54(1)/FO.2-3
play,8,1,casar001,22,BSFBS,K
play,8,1,sweem001,10,BX,5/FL
play,8,1,bellr002,32,CFBBBFB,W
play,8,1,lorem001,12,CFBFFS,K
play,9,0,aurir001,00,X,7/F7
play,9,0,rodrf002,00,,NP
sub,davir002,"Russ Davis",0,9,11
play,9,0,davir002,01,CX,S9
play,9,0,murrc001,32,CBCBBFX,7/L7
play,9,0,muelb001,00,X,S8.1-2
play,9,0,kentj001,12,BFCFX,9/F9S
play,9,1,moutj001,00,,NP
sub,davir002,"Russ Davis",0,9,5
play,9,1,moutj001,00,,NP
sub,martr003,"Ramon E. Martinez",0,2,4
play,9,1,moutj001,00,,NP
sub,nen-r001,"Robb Nen",0,3,1
play,9,1,moutj001,32,BSBBCB,W
play,9,1,estrh001,00,,NP
sub,hayec001,"Charlie Hayes",1,4,11
play,9,1,hayec001,02,SSFS,K
play,9,1,hernj001,32,BBFBFFFX,4/P4
play,9,1,grism001,00,B,WP.1-2
play,9,1,grism001,10,BX,63/G
data,er,ortir001,10
data,er,rodrf002,0
data,er,nen-r001,0
data,er,snydj001,5
data,er,ramih001,3
data,er,delov001,8
data,er,estrh001,0
