version,2
info,visteam,SDN
info,hometeam,CIN
info,site,CIN08
info,date,2000/06/24
info,number,0
info,starttime,7:05PM
info,daynight,night
info,usedh,false
info,umphome,ripps901
info,ump1b,tscht901
info,ump2b,meric901
info,ump3b,gibsg901
info,pitches,pitches
info,temp,79
info,winddir,rtol
info,windspeed,7
info,fieldcond,unknown
info,precip,unknown
info,sky,sunny
info,timeofgame,181
info,attendance,43033
info,wp,villr001
info,lp,clemm001
info,save,desse001
start,owene001,"Eric Owens",0,1,9
start,jackd003,"Damian Jackson",0,2,7
start,sprae001,"Ed Sprague",0,3,3
start,nevip001,"Phil Nevin",0,4,5
start,boonb002,"Bret Boone",0,5,4
start,river002,"Ruben Rivera",0,6,8
play,5,1,taube001,10,BX,7/F7
play,5,1,villr001,01,SX,63/G
play,6,0,clemm001,00,,NP
sub,hernc001,"Carlos A. Hernandez",0,9,11
play,6,0,hernc001,32,CBFBBFX,S9
play,6,0,owene001,00,,NP
sub,desse001,"Elmer Dessens",1,9,1
play,6,0,owene001,11,CBX,9/F9
play,6,0,jackd003,00,,NP
sub,marta001,"Al Martin",0,2,11
play,6,0,marta001,20,BBX,S9.1-2
play,6,0,sprae001,12,CCBS,K
play,6,0,nevip001,22,BFBFFX,13/G
play,6,1,castj004,00,,NP
sub,marta001,"Al Martin",0,2,7
play,6,1,castj004,00,,NP
sub,kolbb001,"Brandon Kolb",0,9,1
play,6,1,castj004,12,CBSFX,S/89S
play,6,1,larkb001,21,BCBX,S7.1-2
play,6,1,grifk002,22,BCFBS,K
play,6,1,bichd001,00,X,S8.2-H;1-2
play,6,1,yound001,11,FBX,36(1)/FO.2-3
play,6,1,cases001,00,X,E3/G.3-H(NR)(UR);1-3
play,6,1,boona001,00,X,53/G
play,7,0,boonb002,10,BX,S
play,7,0,river002,10,BX,64(1)/FO
play,7,0,gonzw001,12,CBFX,64(1)/FO
play,7,0,nichk001,00,X,S.1-2
play,7,0,kolbb001,00,,NP
sub,klesr001,"Ryan Klesko",0,9,11
play,7,0,klesr001,11,CBX,63/G
play,7,1,taube001,00,,NP
sub,almac001,"Carlos Almanzar",0,9,1
play,7,1,taube001,20,BBX,8/F8
play,7,1,desse001,01,CX,S
play,7,1,castj004,22,CFBBX,8/F8D
play,7,1,larkb001,12,CFBX,HR/8.1-H
play,7,1,grifk002,00,X,31/G
play,8,0,owene001,00,X,43/G
play,8,0,marta001,22,CBCFFFFFBS,K
play,8,0,sprae001,11,BCX,4/P4
play,8,1,bichd001,00,X,53/G
play,8,1,yound001,10,BX,63/G
play,8,1,cases001,10,BX,S8
play,8,1,boona001,12,FCFBC,K/C
play,9,0,nevip001,11,SBX,2/FL
play,9,0,boonb002,02,CFX,8/F8
play,9,0,river002,00,X,S9
play,9,0,gonzw001,00,X,S8.1-2
play,9,0,nichk001,22,CBBSFX,S9.2-H;1-2
play,9,0,almac001,00,,NP
sub,dehak001,"Kory DeHaan",0,9,11
play,9,0,dehak001,12,FSBFFFS,K
data,er,clemm001,7
data,er,kolbb001,1
data,er,almac001,2
data,er,villr001,4
data,er,desse001,1
